,res,resnet_model,lr,cycle_T,weight_decay,batchsize,model_n,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,Epochs,Training time,Time
24,50,ResNet18,0.001,5,0.0,256,0,0.6032222222222222,0.9285608289550791,0.9446666666666667,0.7423333333333333,0.4776666666666667,0.2916666666666667,0.21533333333333332,0.9476666666666667,57.0,0:43:11.933209,15252970.947049828
25,50,ResNet18,0.001,5,0.0,256,1,0.605,0.9134116410617539,0.9243333333333333,0.769,0.5003333333333333,0.285,0.27666666666666667,0.8746666666666667,56.0,0:42:25.403096,15255517.865957009
26,50,ResNet18,0.001,5,0.0,256,2,0.5975555555555555,0.9251037015770797,0.9303333333333333,0.7476666666666667,0.4103333333333333,0.2906666666666667,0.315,0.8913333333333333,32.0,0:23:57.879672,15256957.250272619
27,50,ResNet18,0.001,5,0.0,256,3,0.5796111111111111,0.9872422938387825,0.8723333333333333,0.7496666666666667,0.23833333333333334,0.4523333333333333,0.227,0.938,26.0,0:19:19.742871,15258118.489081236
28,50,ResNet18,0.001,5,0.1,256,0,0.39066666666666666,1.548667640455924,0.829,0.34833333333333333,0.018,0.15566666666666668,0.0,0.993,26.0,0:19:21.397382,15259281.398188524
29,50,ResNet18,0.001,5,0.1,256,1,0.4815,1.2968301306691468,0.956,0.5036666666666667,0.11466666666666667,0.0,0.42233333333333334,0.8923333333333333,31.0,0:23:06.825938,15260669.738589073
30,50,ResNet18,0.001,5,0.1,256,2,0.30044444444444446,1.7303707251182479,0.08833333333333333,0.9756666666666667,0.015666666666666666,0.002,0.023333333333333334,0.6976666666666667,7.0,0:05:12.943749,15260983.999659535
31,50,ResNet18,0.001,5,0.1,256,3,0.41194444444444445,1.4605527916722048,0.9883333333333333,0.12,0.191,0.454,0.0,0.7183333333333334,9.0,0:06:39.423765,15261384.746070256
32,50,ResNet18,0.001,50,0.0,256,0,0.5986111111111111,0.9165610673492269,0.908,0.7953333333333333,0.42,0.407,0.17266666666666666,0.8886666666666667,34.0,0:25:19.472012,15262905.531746116
33,50,ResNet18,0.001,50,0.0,256,1,0.5865555555555556,0.9687390870541128,0.8806666666666667,0.8603333333333333,0.364,0.33666666666666667,0.295,0.7826666666666666,34.0,0:25:17.518413,15264424.540711557
34,50,ResNet18,0.001,50,0.0,256,2,0.5825,0.9742534903759917,0.891,0.879,0.30566666666666664,0.20666666666666667,0.362,0.8506666666666667,40.0,0:29:44.602754,15266210.45686696
35,50,ResNet18,0.001,50,0.0,256,3,0.5721666666666667,1.0145404416866965,0.8436666666666667,0.9016666666666666,0.22233333333333333,0.024,0.5423333333333333,0.899,23.0,0:16:48.262514,15267220.13153886
36,50,ResNet18,0.001,50,0.1,256,0,0.37094444444444447,1.6378853387063232,0.742,0.31633333333333336,0.026,0.14566666666666667,0.0,0.9956666666666667,30.0,0:21:59.072047,15268540.702920727
37,50,ResNet18,0.001,50,0.1,256,1,0.4517777777777778,1.3959022604168114,0.869,0.4076666666666667,0.081,0.7393333333333333,0.0,0.6136666666666667,9.0,0:06:32.889174,15268934.910996594
38,50,ResNet18,0.001,50,0.1,256,2,0.3438888888888889,1.5821342986122133,0.9986666666666667,0.145,0.025333333333333333,0.003,0.03133333333333333,0.86,8.0,0:05:51.201801,15269287.426223496
39,50,ResNet18,0.001,50,0.1,256,3,0.425,1.4312415387510422,0.6366666666666667,0.6006666666666667,0.014666666666666666,0.17733333333333334,0.13133333333333333,0.9893333333333333,17.0,0:12:25.353583,15270034.090424618
40,50,ResNet18,0.001,500,0.0,256,0,0.6002777777777778,0.9244206014531525,0.9206666666666666,0.8313333333333334,0.45566666666666666,0.169,0.286,0.939,40.0,0:29:17.879245,15271793.282251025
41,50,ResNet18,0.001,500,0.0,256,1,0.5869444444444445,0.9748292503411404,0.9636666666666667,0.6343333333333333,0.5063333333333333,0.06866666666666667,0.3943333333333333,0.9543333333333334,52.0,0:38:07.146807,15274081.754584951
42,50,ResNet18,0.001,500,0.0,256,2,0.5977777777777777,0.9356029070864552,0.9293333333333333,0.7776666666666666,0.4656666666666667,0.020666666666666667,0.5736666666666667,0.8196666666666667,40.0,0:29:20.265747,15275843.333394134
43,50,ResNet18,0.001,500,0.0,256,3,0.6019444444444444,0.9247631441724478,0.9176666666666666,0.828,0.38033333333333336,0.228,0.4106666666666667,0.847,42.0,0:30:37.661344,15277682.313809603
44,50,ResNet18,0.001,500,0.1,256,0,0.37816666666666665,1.6075142075337014,0.8306666666666667,0.635,0.226,0.0,0.5773333333333334,0.0,6.0,0:04:23.519528,15277947.145502629
45,50,ResNet18,0.001,500,0.1,256,1,0.4048333333333333,1.4538185372705799,0.4723333333333333,0.8443333333333334,0.009,0.0003333333333333333,0.7283333333333334,0.37466666666666665,26.0,0:18:58.139449,15279086.600918174
46,50,ResNet18,0.001,500,0.1,256,2,0.24683333333333332,2.1113444407359014,0.327,0.9943333333333333,0.004666666666666667,0.0013333333333333333,0.014666666666666666,0.139,18.0,0:13:08.201685,15279876.11289321
47,50,ResNet18,0.001,500,0.1,256,3,0.49394444444444446,1.2878770193783804,0.9333333333333333,0.715,0.08766666666666667,0.6493333333333333,0.0,0.5783333333333334,26.0,0:18:58.987422,15281016.413522936
