,res,resnet_model,lr,weight_decay,batchsize,model_n,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,Epochs,Training time,Time
32,50,ResNet18,0.01,0.0,1024,0,0.4623333333333333,1.453428290871158,0.803,0.9456666666666667,0.221,0.16866666666666666,0.266,0.36966666666666664,32.0,0:10:48.306812,14524686.911573203
33,50,ResNet18,0.01,0.0,1024,1,0.5691111111111111,1.0293756037507302,0.9273333333333333,0.5806666666666667,0.5586666666666666,0.018666666666666668,0.49866666666666665,0.8306666666666667,37.0,0:10:45.488977,14525334.011876987
34,50,ResNet18,0.01,0.0,1024,2,0.5746111111111111,0.9878128498171742,0.8873333333333333,0.8913333333333333,0.2673333333333333,0.307,0.193,0.9016666666666666,27.0,0:07:56.200511,14525811.641454397
35,50,ResNet18,0.01,0.0,1024,3,0.5096111111111111,1.166273001349077,0.965,0.32266666666666666,0.616,0.07066666666666667,0.18266666666666667,0.9006666666666666,53.0,0:17:37.708210,14526870.959997036
36,50,ResNet18,0.01,0.5,256,0,0.16666666666666666,1.7918034246113372,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0:03:45.865265,14527098.24084961
37,50,ResNet18,0.01,0.5,256,1,0.16666666666666666,1.7918340207161974,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0:03:46.033974,14527325.686024042
38,50,ResNet18,0.01,0.5,256,2,0.16666666666666666,1.7918866337306592,0.0,0.0,1.0,0.0,0.0,0.0,36.0,0:13:26.684323,14528133.767938852
39,50,ResNet18,0.01,0.5,256,3,0.16666666666666666,1.7918608940095166,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0:06:44.009062,14528539.387293551
40,50,ResNet18,0.01,0.5,512,0,0.16666666666666666,1.7918176552075653,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0:04:01.031947,14528782.027930712
41,50,ResNet18,0.01,0.5,512,1,0.16666666666666666,1.791820975044866,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0:03:22.046948,14528985.470868297
42,50,ResNet18,0.01,0.5,512,2,0.16666666666666666,1.7918008746416902,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0:03:21.762852,14529188.64175784
43,50,ResNet18,0.01,0.5,512,3,0.16666666666666666,1.7918176331737776,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0:03:22.034655,14529392.09748244
44,50,ResNet18,0.01,0.5,1024,0,0.16666666666666666,1.791834615493309,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0:03:49.662581,14529623.169835968
45,50,ResNet18,0.01,0.5,1024,1,0.16666666666666666,1.791778540877328,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0:04:23.415196,14529888.195452916
46,50,ResNet18,0.01,0.5,1024,2,0.16666666666666666,1.7917645030342684,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0:04:02.975744,14530132.778719528
47,50,ResNet18,0.01,0.5,1024,3,0.16666666666666666,1.7917652335232226,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0:04:03.494027,14530377.889834523
48,50,ResNet18,0.1,0.0,256,0,0.44283333333333336,1.648525839630635,0.9006666666666666,0.855,0.512,0.004,0.337,0.04833333333333333,47.0,0:15:35.490233,14531314.988336034
49,50,ResNet18,0.1,0.0,256,1,0.4181666666666667,1.7082598949422387,0.878,0.17766666666666667,0.3486666666666667,0.10633333333333334,0.004666666666666667,0.9936666666666667,51.0,0:19:50.843632,14532507.243669497
50,50,ResNet18,0.1,0.0,256,2,0.46605555555555556,1.5058540061414336,0.8083333333333333,0.33366666666666667,0.47,0.19533333333333333,0.005333333333333333,0.9836666666666667,29.0,0:09:06.332335,14533055.178062826
51,50,ResNet18,0.1,0.0,256,3,0.49622222222222223,1.231882544139054,0.5056666666666667,0.8113333333333334,0.25566666666666665,0.2846666666666667,0.15933333333333333,0.9606666666666667,21.0,0:07:45.787537,14533522.372804578
52,50,ResNet18,0.1,0.0,512,0,0.1665,1.7938761563187275,0.999,0.0,0.0,0.0,0.0,0.0,25.0,0:08:55.307033,14534059.296659432
53,50,ResNet18,0.1,0.0,512,1,0.5464444444444444,1.0921894193378445,0.833,0.5083333333333333,0.5193333333333333,0.05433333333333333,0.43366666666666664,0.93,33.0,0:10:23.240435,14534684.148162434
54,50,ResNet18,0.1,0.0,512,2,0.4472777777777778,1.4183955383852656,0.7833333333333333,0.9486666666666667,0.22433333333333333,0.060333333333333336,0.29033333333333333,0.37666666666666665,34.0,0:10:16.344693,14535301.903724639
55,50,ResNet18,0.1,0.0,512,3,0.16683333333333333,1.7965337748327597,0.9993333333333333,0.0,0.0,0.0,0.0016666666666666668,0.0,11.0,0:03:53.915516,14535537.417233372
56,50,ResNet18,0.1,0.0,1024,0,0.46105555555555555,1.4452117774105198,0.8363333333333334,0.579,0.112,0.12166666666666667,0.12633333333333333,0.991,27.0,0:09:06.890346,14536085.911172817
57,50,ResNet18,0.1,0.0,1024,1,0.16666666666666666,1.792397293455805,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0:06:23.172942,14536470.698272845
58,50,ResNet18,0.1,0.0,1024,2,0.5320555555555555,1.140558655580105,0.939,0.7863333333333333,0.08433333333333333,0.06066666666666667,0.338,0.984,50.0,0:14:34.921170,14537347.052904196
59,50,ResNet18,0.1,0.0,1024,3,0.16666666666666666,1.7923873711184468,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0:06:24.458283,14537733.108324695
