,lr,max_depth,gamma,lambda,alpha,subsample_f,colsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time,ACC_train,ACC_val,Loss_train,Loss_val
12,0.01,1,0.0,0.0,0.0,1.0,0.25,0.44675,1.3923717892512641,0.8652759308510638,0.5345864661654135,0.3008634420320228,0.09567952325773879,0.21891374864842386,0.6669174189234369,10000.0,0:02:26.037871,14800328.737267133,0.48235,0.48235,1.3157118266860672,1.326981151745603
13,0.01,1,0.0,0.0,0.0,1.0,0.5,0.4470138888888889,1.3940387212813143,0.8655160913790229,0.5393033163478406,0.30135844653721144,0.09458103361766182,0.21796040096098088,0.6637794619805114,10000.0,0:02:25.702222,14800474.50973977,0.48255,0.48255,1.3152395903226841,1.3267200900971785
14,0.01,1,0.0,0.0,0.0,1.0,0.75,0.4473888888888889,1.3911747666097762,0.8670674682698731,0.5369847074468085,0.3000416146483562,0.09353059177532598,0.21712231418777694,0.6676070361765682,10000.0,0:02:25.636431,14800620.215068342,0.48233333333333334,0.48233333333333334,1.315198976097089,1.3266859572375607
15,0.01,1,0.0,0.0,0.0,1.0,1.0,0.4476805555555556,1.391077212404461,0.867514218802275,0.5400369313412792,0.3003764115432873,0.09425516040785874,0.22056755191528088,0.668024948024948,10000.0,0:02:19.965586,14800760.250931684,0.4826,0.4826,1.3152150889155338,1.3267554335271319
16,0.01,1,0.0,0.0,0.1,0.25,0.25,0.45795833333333336,1.3698791698024426,0.8661802503938314,0.5528421403567261,0.30112021401103495,0.10612006345495534,0.23454211229946523,0.6824829649326907,10000.0,0:02:26.298258,14800906.619420595,0.49206666666666665,0.49206666666666665,1.2925309749383034,1.304857083553914
17,0.01,1,0.0,0.0,0.1,0.25,0.5,0.45902777777777776,1.366906962226116,0.8634738505030348,0.5535521395928542,0.3052105043768237,0.11100940334526088,0.2351961355875739,0.6866347847973824,10000.0,0:02:26.432992,14801053.12265934,0.4948666666666667,0.4948666666666667,1.2869763100218368,1.3004882705938847
18,0.01,1,0.0,0.0,0.1,0.25,0.75,0.46018055555555554,1.3633007233956684,0.864743162108072,0.5594411444825567,0.30365487316421896,0.11334385119986715,0.23932050961778667,0.6820866960645644,10000.0,0:02:26.842747,14801200.035957089,0.49573333333333336,0.49573333333333336,1.2846685812697662,1.2987698061395074
19,0.01,1,0.0,0.0,0.1,0.25,1.0,0.4603055555555556,1.3632008293410862,0.866295032864631,0.5602510460251046,0.3037468776019983,0.1133841311909889,0.23863068465767118,0.6827736370488234,10000.0,0:02:21.752701,14801341.859069085,0.4964,0.4964,1.283110355502714,1.2977387281132138
20,0.01,1,0.0,0.0,0.1,0.5,0.25,0.4524861111111111,1.3800079258162772,0.8638226683396069,0.5486238532110091,0.3029443656685295,0.10235108415718203,0.22743171219187208,0.6720738707262292,10000.0,0:02:26.300381,14801488.228249844,0.48865,0.48865,1.3012168298935973,1.3132941511471807
21,0.01,1,0.0,0.0,0.1,0.5,0.5,0.45566666666666666,1.375315775555392,0.8647270295125825,0.551847835154751,0.30632575128673417,0.10536028856639544,0.2285240464344942,0.6775883575883576,10000.0,0:02:26.339807,14801634.63693316,0.49083333333333334,0.49083333333333334,1.297192455044444,1.3103778185383417
22,0.01,1,0.0,0.0,0.1,0.5,0.75,0.45544444444444443,1.3757430030978812,0.8657426734574601,0.5502958579881657,0.30222369182441927,0.11012626473785433,0.229984104408935,0.6739908447773616,10000.0,0:02:27.272906,14801781.98043258,0.4915833333333333,0.4915833333333333,1.2954721253741106,1.3091757217188262
23,0.01,1,0.0,0.0,0.1,0.5,1.0,0.4553055555555556,1.372907703162832,0.8653460381143431,0.552468370131481,0.3033642207195926,0.10906821963394343,0.22818568214017834,0.675177898702386,10000.0,0:02:22.511629,14801924.562324824,0.49173333333333336,0.49173333333333336,1.294441593453937,1.3084129029024496
24,0.01,1,0.0,0.0,0.1,0.75,0.25,0.45081944444444444,1.383789189740572,0.8663775127199933,0.539731768650461,0.30169604812432116,0.10146617794068644,0.22274881516587677,0.6725436636040063,10000.0,0:02:27.542761,14802072.175739983,0.4859833333333333,0.4859833333333333,1.307006816951204,1.3190913993054483
25,0.01,1,0.0,0.0,0.1,0.75,0.5,0.4505416666666667,1.3846407150545124,0.8634007691021568,0.5434691657601874,0.30283333333333334,0.1027990669776741,0.22575057736720555,0.6698720628815118,10000.0,0:02:26.852292,14802219.097878885,0.48723333333333335,0.48723333333333335,1.3042789961851085,1.3170942815382862
26,0.01,1,0.0,0.0,0.1,0.75,0.75,0.452875,1.3815563299209201,0.8667557188178326,0.5491440501043842,0.3046901172529313,0.10292280789407944,0.22718253968253968,0.6688051991334778,10000.0,0:02:27.038242,14802366.206469595,0.48773333333333335,0.48773333333333335,1.3031474143661859,1.3163677177575106
27,0.01,1,0.0,0.0,0.1,0.75,1.0,0.4527361111111111,1.3798268010626986,0.8664668664668664,0.5472595311587554,0.29980850886687205,0.10364285121566676,0.22846347607052897,0.6698811206251559,10000.0,0:02:21.864986,14802508.141928593,0.48833333333333334,0.48833333333333334,1.3024770486020212,1.315898504342056
28,0.01,1,0.0,0.0,0.1,1.0,0.25,0.4476111111111111,1.3922242162549578,0.8675524358652962,0.5336099585062241,0.29994988306047443,0.09723490824545379,0.21827453603076408,0.6699150424787607,10000.0,0:02:26.206081,14802654.417767031,0.4822666666666667,0.4822666666666667,1.3157756892601378,1.3270005961074494
29,0.01,1,0.0,0.0,0.1,1.0,0.5,0.44808333333333333,1.39172395037311,0.8647326978864484,0.5413027202395807,0.2976557937765913,0.09620041753653445,0.2197866311051842,0.6663041659695499,10000.0,0:02:26.317789,14802800.80619746,0.48228333333333334,0.48228333333333334,1.3153108881368087,1.3267448035754368
30,0.01,1,0.0,0.0,0.1,1.0,0.75,0.4472777777777778,1.391414469053077,0.8675791418255101,0.5397510373443983,0.3011226611226611,0.09283930058284763,0.21918837675350702,0.6655860349127182,10000.0,0:02:26.087882,14802946.96322422,0.4821666666666667,0.4821666666666667,1.315267249585632,1.326707735757033
31,0.01,1,0.0,0.0,0.1,1.0,1.0,0.44783333333333336,1.3932393602715978,0.8646856375388231,0.5412828810887064,0.30063631104867367,0.09472542146553163,0.2196652719665272,0.6683329167708073,10000.0,0:02:20.749115,14803087.782835333,0.48255,0.48255,1.31528114137582,1.326770832381263
32,0.01,1,0.0,0.0,1.0,0.25,0.25,0.45729166666666665,1.369192483575463,0.8664109406270847,0.5559883961873187,0.29968243356175833,0.10460531834577635,0.23031512430365012,0.6836811039986699,10000.0,0:02:25.751696,14803233.603278846,0.49101666666666666,0.49101666666666666,1.2943879662840345,1.305877565166499
33,0.01,1,0.0,0.0,1.0,0.25,0.5,0.4590416666666667,1.3651119718535774,0.8673945657609602,0.558451290591174,0.3022561380225614,0.11066699975018736,0.2334702086650465,0.6818409204602301,10000.0,0:02:26.739216,14803380.413065689,0.4938166666666667,0.4938166666666667,1.2887514109238953,1.3013093568933352
34,0.01,1,0.0,0.0,1.0,0.25,0.75,0.45844444444444443,1.3656660120249553,0.8659948363454651,0.5550716140380266,0.30254618072890666,0.11139788527183415,0.23312677943393068,0.680708433336092,10000.0,0:02:26.354597,14803526.83854197,0.49448333333333333,0.49448333333333333,1.2864074039033644,1.2995859647414698
35,0.01,1,0.0,0.0,1.0,0.25,1.0,0.46055555555555555,1.3615547161181705,0.8636853895295777,0.5611474584801208,0.3022905868583849,0.11568660207150017,0.2348020540003313,0.6843638179246068,10000.0,0:02:22.199800,14803669.107155137,0.4952666666666667,0.4952666666666667,1.284815100416302,1.2985501899801246
36,0.01,1,0.0,0.0,1.0,0.5,0.25,0.4539166666666667,1.3788484688865632,0.8658556907182137,0.5512585430905151,0.3031768531643459,0.10468411401900317,0.226955074875208,0.6719492868462758,10000.0,0:02:27.288314,14803816.46472179,0.4882,0.4882,1.30239825424018,1.313957376853718
37,0.01,1,0.0,0.0,1.0,0.5,0.5,0.45525,1.3763926721681674,0.8633907042487736,0.5505308033102064,0.3062296722541906,0.10765250771926896,0.2289226679956807,0.6743352504792864,10000.0,0:02:27.519209,14803964.054752804,0.4904,0.4904,1.298375811394987,1.3109649660921552
38,0.01,1,0.0,0.0,1.0,0.5,0.75,0.4544166666666667,1.3763071110510865,0.8643982987240431,0.5489198431895904,0.3035521171283587,0.11099137931034483,0.22827356130108423,0.6736709920468815,10000.0,0:02:26.688035,14804110.81376914,0.4910333333333333,0.4910333333333333,1.296648012346981,1.3098016140768562
39,0.01,1,0.0,0.0,1.0,0.5,1.0,0.455875,1.3732735256444129,0.8613598673300166,0.5528204272363151,0.3041673584592396,0.10773364682173146,0.2306664439619175,0.67356780577035,10000.0,0:02:21.898371,14804252.783201708,0.4915833333333333,0.4915833333333333,1.2956324271941713,1.3090791315553554
40,0.01,1,0.0,0.0,1.0,0.75,0.25,0.44922222222222224,1.3855264226588677,0.8645989661497415,0.5402827741989459,0.3041631973355537,0.10248138957816377,0.21753301019555407,0.6691415700342037,10000.0,0:02:27.202879,14804400.057069138,0.4858166666666667,0.4858166666666667,1.307863264315551,1.3195217379234834
