,lr,max_depth,gamma,lambda,subsample_f,ACC,LogLoss,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,n_trees,Training time,Time
16,0.001,3,0.01,0.001,1.0,0.5123888888888889,1.2192788572319322,0.89,0.7086666666666667,0.32066666666666666,0.175,0.2783333333333333,0.7016666666666667,50000.0,0:07:23.603545,14336525.902435213
17,0.001,3,0.01,0.001,0.8,0.5162222222222222,1.2076202819629767,0.8896666666666667,0.7103333333333334,0.3333333333333333,0.17133333333333334,0.283,0.7096666666666667,50000.0,0:07:41.697035,14336987.608572943
18,0.001,3,0.01,0.001,0.6,0.5193333333333333,1.2025456905069207,0.8883333333333333,0.7123333333333334,0.3393333333333333,0.17433333333333334,0.2836666666666667,0.718,50000.0,0:07:38.844472,14337446.460565772
19,0.001,3,0.01,0.001,0.4,0.5220555555555556,1.1993619197287317,0.889,0.7156666666666667,0.34833333333333333,0.17333333333333334,0.284,0.722,50000.0,0:07:42.972579,14337909.440660372
20,0.001,3,0.01,0.01,1.0,0.5127222222222222,1.2192501502060467,0.8903333333333333,0.7073333333333334,0.324,0.17233333333333334,0.2786666666666667,0.7036666666666667,50000.0,0:07:20.754214,14338350.20304246
21,0.001,3,0.01,0.01,0.8,0.5162222222222222,1.207600977064776,0.8896666666666667,0.7113333333333334,0.333,0.17033333333333334,0.283,0.71,50000.0,0:07:37.516643,14338807.727508722
22,0.001,3,0.01,0.01,0.6,0.5193888888888889,1.2025399917875776,0.888,0.7133333333333334,0.339,0.17466666666666666,0.2836666666666667,0.7176666666666667,50000.0,0:07:39.560935,14339267.29657974
23,0.001,3,0.01,0.01,0.4,0.522,1.1993326383227374,0.889,0.715,0.3486666666666667,0.174,0.2836666666666667,0.7216666666666667,50000.0,0:07:42.705008,14339730.009103943
24,0.001,3,0.01,0.1,1.0,0.5124444444444445,1.2191286447243495,0.8906666666666667,0.7073333333333334,0.32233333333333336,0.17166666666666666,0.2816666666666667,0.701,50000.0,0:07:17.872015,14340167.888960512
25,0.001,3,0.01,0.1,0.8,0.5161111111111111,1.207625364062267,0.8893333333333333,0.7106666666666667,0.33266666666666667,0.171,0.2833333333333333,0.7096666666666667,50000.0,0:07:36.481257,14340624.379553175
26,0.001,3,0.01,0.1,0.6,0.5192777777777777,1.2025299790888457,0.888,0.713,0.3396666666666667,0.17366666666666666,0.2836666666666667,0.7176666666666667,50000.0,0:07:40.258410,14341084.64554507
27,0.001,3,0.01,0.1,0.4,0.5222222222222223,1.1992372504985482,0.889,0.7153333333333334,0.34933333333333333,0.17366666666666666,0.2833333333333333,0.7226666666666667,50000.0,0:07:42.937496,14341547.590658868
28,0.001,3,0.01,1.0,1.0,0.5118333333333334,1.2195174420881252,0.8903333333333333,0.7076666666666667,0.32366666666666666,0.16733333333333333,0.2803333333333333,0.7016666666666667,50000.0,0:07:19.503606,14341987.101849308
29,0.001,3,0.01,1.0,0.8,0.5153333333333333,1.2078439315025493,0.8893333333333333,0.7116666666666667,0.3313333333333333,0.17133333333333334,0.28,0.7083333333333334,50000.0,0:07:34.080676,14342441.1901168
30,0.001,3,0.01,1.0,0.6,0.519,1.2028136231566757,0.888,0.713,0.339,0.17533333333333334,0.28,0.7186666666666667,50000.0,0:07:39.629867,14342900.827600712
31,0.001,3,0.01,1.0,0.4,0.5217222222222222,1.1994348955941392,0.8873333333333333,0.7153333333333334,0.3473333333333333,0.175,0.2833333333333333,0.722,50000.0,0:07:41.151470,14343361.986662075
32,0.001,3,0.1,0.001,1.0,0.5120555555555556,1.2192925462140687,0.8903333333333333,0.7083333333333334,0.32066666666666666,0.17233333333333334,0.2786666666666667,0.702,50000.0,0:07:17.696238,14343799.690513723
33,0.001,3,0.1,0.001,0.8,0.5162222222222222,1.207620293519529,0.8896666666666667,0.711,0.33366666666666667,0.171,0.2823333333333333,0.7096666666666667,50000.0,0:07:38.650638,14344258.349097488
34,0.001,3,0.1,0.001,0.6,0.5193333333333333,1.2025446169592173,0.8883333333333333,0.7123333333333334,0.3396666666666667,0.17433333333333334,0.2836666666666667,0.7176666666666667,50000.0,0:07:38.975713,14344717.332470408
35,0.001,3,0.1,0.001,0.4,0.5219444444444444,1.1993641973020999,0.8886666666666667,0.7153333333333334,0.349,0.17333333333333334,0.2836666666666667,0.7216666666666667,50000.0,0:07:43.677441,14345181.017534247
36,0.001,3,0.1,0.01,1.0,0.5122777777777778,1.2192833246573336,0.8896666666666667,0.7076666666666667,0.324,0.17166666666666666,0.2786666666666667,0.702,50000.0,0:07:18.209839,14345619.235022219
