,ACC,LogLoss,Train time,Test time,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12
0,0.4700111111111111,1.2810564735832282,28.716092109680176,0.6668446063995361,0.8238666666666666,0.5149333333333334,0.2657333333333333,0.17593333333333333,0.2286,0.811
1,0.46873333333333334,1.2813195939627275,28.238941192626953,0.6457915306091309,0.824,0.5142,0.2652,0.16933333333333334,0.22933333333333333,0.8103333333333333
2,0.4700666666666667,1.2808899628997032,28.017956018447876,0.6273059844970703,0.8255333333333333,0.5148666666666667,0.264,0.17486666666666667,0.22846666666666668,0.8126666666666666
3,0.46957777777777776,1.2814571967826023,27.867326021194458,0.6217176914215088,0.8234666666666667,0.5158666666666667,0.2682,0.17106666666666667,0.2296,0.8092666666666667
4,0.4700666666666667,1.280961395883501,27.868900299072266,0.6209936141967773,0.8228666666666666,0.5160666666666667,0.2668,0.1752,0.23053333333333334,0.8089333333333333
5,0.4692222222222222,1.2828598120119343,27.679336547851562,0.6454155445098877,0.8242,0.5143333333333333,0.2646,0.17653333333333332,0.22626666666666667,0.8094
6,0.46984444444444445,1.280930486953384,28.089253187179565,0.6205723285675049,0.8234666666666667,0.5154,0.26326666666666665,0.1774,0.2302,0.8093333333333333
7,0.4694888888888889,1.2820608961050164,28.2270290851593,0.6224353313446045,0.8254,0.5126666666666667,0.2667333333333333,0.17346666666666666,0.2322,0.8064666666666667
8,0.4696111111111111,1.2812432694986378,28.12499713897705,0.6163043975830078,0.8251333333333334,0.5142666666666666,0.2687333333333333,0.171,0.22753333333333334,0.811
9,0.47024444444444446,1.2811249763114285,28.10539174079895,0.6307883262634277,0.8258666666666666,0.5155333333333333,0.268,0.17246666666666666,0.2294,0.8102
10,0.47096666666666664,1.2823831415155675,27.95158362388611,0.6214840412139893,0.8252666666666667,0.5134666666666666,0.2678,0.17826666666666666,0.23026666666666668,0.8107333333333333
11,0.4701444444444444,1.2813499286691137,27.954705953598022,0.6441013813018799,0.8254,0.5178,0.26586666666666664,0.17246666666666666,0.2304,0.8089333333333333
12,0.4692777777777778,1.2818152959058502,27.912518739700317,0.6318724155426025,0.8242,0.5123333333333333,0.267,0.1742,0.229,0.8089333333333333
13,0.4685111111111111,1.2827817547798979,83.89876985549927,1.149595022201538,0.8221333333333334,0.5101333333333333,0.26813333333333333,0.17373333333333332,0.2274,0.8095333333333333
14,0.46992222222222224,1.2813441415931912,28.050050497055054,0.6626782417297363,0.8253333333333334,0.5143333333333333,0.27026666666666666,0.16946666666666665,0.23066666666666666,0.8094666666666667
15,0.46871111111111113,1.2820454256604226,27.64215064048767,0.6496303081512451,0.8227333333333333,0.5122666666666666,0.2660666666666667,0.1714,0.2302,0.8096
16,0.46942222222222224,1.2824732697477519,27.976797819137573,0.6533567905426025,0.8204666666666667,0.5128,0.26613333333333333,0.17773333333333333,0.22953333333333334,0.8098666666666666
17,0.46957777777777776,1.2823113257113672,27.86963963508606,0.6628940105438232,0.8248666666666666,0.5125333333333333,0.26666666666666666,0.17393333333333333,0.22873333333333334,0.8107333333333333
18,0.4699888888888889,1.2816815267329462,27.9359712600708,0.6628353595733643,0.8252,0.5155333333333333,0.26853333333333335,0.17013333333333333,0.23026666666666668,0.8102666666666667
19,0.4706,1.2811565759058199,28.082080364227295,0.6567273139953613,0.8253333333333334,0.5162,0.26493333333333335,0.177,0.23006666666666667,0.8100666666666667
