,ACC,LogLoss,Train time,Test time,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12
0,0.5038444444444444,1.2308138158986623,9.681331157684326,0.4702727794647217,0.8766,0.5976666666666667,0.34046666666666664,0.16553333333333334,0.2978,0.745
1,0.5033222222222222,1.2310978005007742,9.388657808303833,0.5180313587188721,0.8772666666666666,0.5971333333333333,0.3400666666666667,0.16626666666666667,0.2942,0.745
2,0.5033444444444445,1.231160511162155,9.614036321640015,0.47700929641723633,0.8759333333333333,0.5964,0.3419333333333333,0.16786666666666666,0.2932,0.7447333333333334
3,0.5018222222222222,1.230760705804706,9.593425750732422,0.47526025772094727,0.8774666666666666,0.5954666666666667,0.3374666666666667,0.16466666666666666,0.29346666666666665,0.7424
4,0.5032111111111112,1.230510094822637,9.868383646011353,0.47922325134277344,0.8764,0.5974666666666667,0.3378,0.16993333333333333,0.29386666666666666,0.7438
5,0.5028444444444444,1.2312155323728846,9.709736585617065,0.60955810546875,0.876,0.5955333333333334,0.3399333333333333,0.16813333333333333,0.2942,0.7432666666666666
6,0.5034888888888889,1.2307386040767987,9.610394716262817,0.5861296653747559,0.8766666666666667,0.5979333333333333,0.33853333333333335,0.16633333333333333,0.297,0.7444666666666667
7,0.5032333333333333,1.2311301667439802,9.728018045425415,0.4687221050262451,0.8758,0.5962666666666666,0.34046666666666664,0.16613333333333333,0.29546666666666666,0.7452666666666666
8,0.5027222222222222,1.230064640526608,9.496411323547363,0.4711148738861084,0.8766666666666667,0.5973333333333334,0.338,0.1648,0.2962,0.7433333333333333
9,0.5027888888888888,1.2314456179991422,9.657823324203491,0.46596837043762207,0.8762666666666666,0.5965333333333334,0.3383333333333333,0.16926666666666668,0.2926,0.7437333333333334
10,0.5029,1.2311356565358609,9.417548418045044,0.46616697311401367,0.8772666666666666,0.5957333333333333,0.3389333333333333,0.16653333333333334,0.29513333333333336,0.7438
11,0.5030888888888889,1.2299871159385924,9.43506407737732,0.46532249450683594,0.876,0.5962,0.3386,0.1672,0.2936,0.7469333333333333
12,0.5029,1.2304108588952698,9.529987812042236,0.4715418815612793,0.8760666666666667,0.5962666666666666,0.3389333333333333,0.16993333333333333,0.2935333333333333,0.7426666666666667
13,0.5021777777777777,1.231043338898883,9.404607057571411,0.4709024429321289,0.8764,0.5962666666666666,0.3350666666666667,0.1688,0.29346666666666665,0.7430666666666667
14,0.5038444444444444,1.230441791791364,9.412385940551758,0.4697751998901367,0.8763333333333333,0.5985333333333334,0.34126666666666666,0.17006666666666667,0.2916,0.7452666666666666
15,0.5033333333333333,1.2305648594398502,9.643105745315552,0.4698941707611084,0.8773333333333333,0.5949333333333333,0.3416666666666667,0.165,0.298,0.7430666666666667
16,0.5032,1.2301850773001581,9.447197914123535,0.4693443775177002,0.8755333333333334,0.597,0.3390666666666667,0.1692,0.29273333333333335,0.7456666666666667
17,0.5029333333333333,1.2306169179513418,9.611999750137329,0.46674275398254395,0.8762,0.5969333333333333,0.3379333333333333,0.16693333333333332,0.2962666666666667,0.7433333333333333
18,0.5024555555555555,1.2309955679363005,9.459146499633789,0.47104883193969727,0.8775333333333334,0.5946666666666667,0.33873333333333333,0.16533333333333333,0.2965333333333333,0.7419333333333333
19,0.5029888888888889,1.2309375255597599,9.60301685333252,0.473529577255249,0.875,0.5970666666666666,0.34146666666666664,0.1652,0.29633333333333334,0.7428666666666667
