,ACC,LogLoss,Train time,Epochs,Test time,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12,Training time,Time
0,0.5724333333333333,1.0122894000163813,0,37,0,0.9086666666666666,0.6342666666666666,0.5693333333333334,0.16173333333333334,0.2508666666666667,0.9097333333333333,0:18:10.239035,1758627435.3161037
1,0.5748777777777778,1.0084021031282222,0,41,0,0.9042666666666667,0.8178666666666666,0.4358,0.0208,0.4784,0.7921333333333334,0:20:09.918088,1758628649.8294234
2,0.5759333333333333,0.9983249229761805,0,35,0,0.8618666666666667,0.7528,0.24473333333333333,0.15273333333333333,0.4912,0.9522666666666667,0:17:16.589862,1758629690.9570978
3,0.5719333333333333,1.007938726743584,0,20,0,0.8543333333333333,0.7541333333333333,0.3214,0.028,0.5432666666666667,0.9304666666666667,0:09:51.896664,1758630287.3931391
4,0.5780888888888889,0.990412724663149,0,38,0,0.9334666666666667,0.6449333333333334,0.4902,0.09346666666666667,0.3626,0.9438666666666666,0:18:47.061742,1758631418.984547
5,0.5890888888888889,0.9548454697900023,0,67,0,0.931,0.7479333333333333,0.4421333333333333,0.1842,0.37433333333333335,0.8549333333333333,0:33:06.227567,1758633409.7469132
6,0.575,1.0017090929664583,0,35,0,0.916,0.7859333333333334,0.272,0.3463333333333333,0.2932666666666667,0.8364666666666667,0:17:19.432631,1758634453.7160587
7,0.5859333333333333,0.9621146976219659,0,55,0,0.9302666666666667,0.7400666666666667,0.4377333333333333,0.3177333333333333,0.2296,0.8602,0:26:59.495112,1758636077.7492425
8,0.5796111111111111,0.9893564565632166,0,50,0,0.9070666666666667,0.8133333333333334,0.3266,0.19806666666666667,0.4245333333333333,0.8080666666666667,0:24:27.785834,1758637550.031433
9,0.5736333333333333,1.0197594992417345,0,43,0,0.8934666666666666,0.7051333333333333,0.4252,0.13413333333333333,0.3386,0.9452666666666667,0:21:01.832661,1758638816.360326
10,0.5805888888888889,0.9756266756920864,0,33,0,0.9354,0.6878,0.39226666666666665,0.3388,0.21386666666666668,0.9154,0:16:07.255436,1758639788.1125593
11,0.5801555555555555,0.9765985339722777,0,30,0,0.9300666666666667,0.7138666666666666,0.42333333333333334,0.3686,0.17833333333333334,0.8667333333333334,0:14:38.743143,1758640671.3540566
12,0.5729111111111111,1.0036617322644283,0,25,0,0.9516,0.667,0.5214,0.05213333333333333,0.3473333333333333,0.898,0:12:12.450572,1758641408.2968502
13,0.5439777777777778,1.124425538961118,0,16,0,0.8336666666666667,0.59,0.5514,0.0076,0.31453333333333333,0.9666666666666667,0:07:48.469022,1758641881.257374
14,0.5661333333333334,1.0237363033203621,0,27,0,0.7436666666666667,0.7672666666666667,0.31133333333333335,0.1056,0.5736,0.8953333333333333,0:13:10.458988,1758642676.2191508
15,0.5648444444444445,1.0340190396368696,0,27,0,0.9655333333333334,0.6088,0.3648,0.4242666666666667,0.0828,0.9428666666666666,0:13:10.833739,1758643471.5519173
16,0.5707666666666666,1.0416306615855668,0,31,0,0.8608666666666667,0.6839333333333333,0.44106666666666666,0.06313333333333333,0.4202666666666667,0.9553333333333334,0:15:07.809811,1758644383.8548758
17,0.5754222222222222,0.9966547261407065,0,18,0,0.9095333333333333,0.7378666666666667,0.36293333333333333,0.2144,0.3287333333333333,0.8990666666666667,0:08:46.306901,1758644914.6675828
18,0.5648444444444445,1.0425897206894055,0,31,0,0.9112,0.6822,0.45466666666666666,0.08613333333333334,0.2816666666666667,0.9732,0:15:08.126092,1758645827.2876523
19,0.5754222222222222,0.995626812137784,0,31,0,0.9566,0.6398666666666667,0.4954,0.09946666666666666,0.36373333333333335,0.8974666666666666,0:15:08.522006,1758646740.3101032
