,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.02967177581481482,0.007338777777777778,1.0,0.0662038318633477,,,0.007338777777777778,0.007338777777777778
1,3,0.008125946951814813,0.0006286886296296297,0.23561235529629632,0.03004173040117128,,,0.0006286886296296297,0.0006286886296296297
2,4,0.0016913845658288072,5.385765927160494e-05,0.30109489685924695,0.009727956126941453,,,5.385765927160494e-05,0.002353181540703704
3,5,0.0003958464386647256,4.6138061442674905e-06,0.061603414849682195,0.003118565071594189,,,4.6138061442674905e-06,0.0002508330717809547
4,6,0.00012370657589530007,3.952493930255817e-07,0.08724896104820642,0.0023018234707063495,,,3.952493930255817e-07,2.5706589900477032e-05
5,7,2.6821242378971876e-05,3.385969800252483e-08,0.016903227825654468,0.0004510441569898687,,,3.385969800252483e-08,2.5635875631639227e-06
6,8,5.035426330527003e-06,2.900647462216294e-09,0.0028418973737243643,7.631540549859949e-05,,,2.900647462216294e-09,2.5057305178468455e-07
7,9,1.3069052369062273e-06,2.4848879926319587e-10,0.0004327227562936732,1.796103107302001e-05,,,2.4848879926319587e-10,2.4117916765841078e-08
8,10,4.867506229549957e-07,2.1287207136880444e-11,0.0008042174823014858,1.493708474274554e-05,,,2.1287207136880444e-11,2.2933031284000346e-09
9,11,8.216503750007148e-08,1.8236040780594248e-12,0.00012487746000853245,2.3279227640204514e-06,,,1.8236040780594248e-12,2.1592323772509062e-10
10,12,9.376632446406295e-08,1.5622208268709074e-13,0.00023157158462087569,4.240960658168978e-06,,,1.5622208268709074e-13,2.01648060271551e-11
11,13,3.237057539853832e-09,1.3383025083527439e-14,2.5145410959764366e-06,6.616350734500545e-08,,,1.3383025083527439e-14,1.87029077392985e-12
12,14,6.313662646995031e-10,1.1464791488221841e-15,3.333143561009932e-07,1.2252506690064944e-08,,,1.1464791488221841e-15,1.7245812223469576e-13
13,15,8.67756291190788e-10,9.821504708243377e-17,7.69317345549429e-07,2.437558978960122e-08,,,9.821504708243377e-17,1.1905917690345567e-12
14,16,1.8787018674378383e-11,8.413755700061826e-18,5.2947737059533134e-09,2.90268064568418e-10,,,8.413755700061826e-18,1.1646077166070343e-13
15,17,8.956869239385026e-11,7.207784049719631e-19,2.3499701997896281e-07,4.304448480444688e-09,,,7.207784049719631e-19,1.1298232108291863e-14
16,18,1.1324682786424595e-12,6.174668335926484e-20,1.7702883176162814e-09,3.2861499820460206e-11,,,6.174668335926484e-20,1.0881179904143941e-15
17,19,1.7721053953362452e-12,5.289632541110355e-21,4.426294363680872e-09,8.109850668608614e-11,,,5.289632541110355e-21,1.0411824230395303e-16
