,N,average,min,max,std,5_percentile,95_percentile
16,18,7.103474985533295e-18,6.174668335926484e-20,1.0881179904143941e-15,7.673814755284507e-17,6.174668335926484e-20,1.1924317672387833e-17
17,19,6.653033114190112e-19,5.289632541110355e-21,1.0411824230395303e-16,7.342445173726814e-18,5.289632541110355e-21,1.0779735980860457e-18
18,20,3.2476763047867624e-18,4.531451876884537e-22,6.379927723065401e-16,4.50013088251766e-17,4.531451876884537e-22,9.718289225612648e-20
19,21,9.959119201139705e-22,3.881943774531087e-23,8.73966018655131e-21,2.72240394709575e-21,3.881943774531087e-23,8.73966018655131e-21
20,22,1.8550412221660745e-21,3.325531833514965e-24,8.829434743313417e-20,1.2350883071496357e-20,3.325531833514965e-24,7.841914618930248e-22
21,23,9.14831657028789e-23,2.8488722707111534e-25,8.28089482342935e-21,8.23380099798396e-22,2.8488722707111534e-25,7.021971317527965e-23
22,24,1.2565787269965265e-23,2.4405339119092215e-26,7.736008809537118e-22,9.394085641484454e-23,2.4405339119092215e-26,6.275970649967647e-24
23,25,8.11429656742134e-25,2.090724051202233e-27,7.20101379659884e-23,7.158655835599593e-24,2.090724051202233e-27,5.599561007484518e-25
24,26,2.8739614758273375e-24,1.7910536038632464e-28,5.7286797393222425e-22,4.0405808938723884e-23,1.7910536038632464e-28,4.9881191321599937e-26
25,27,6.791448574448124e-27,1.5343359206428477e-29,6.179346154533039e-25,6.14407516160818e-26,1.5343359206428477e-29,4.436917391063625e-27
26,28,6.203347788986917e-28,1.3144144386840397e-30,5.699322019172888e-26,5.667175181358532e-27,1.3144144386840397e-30,3.9412486793552827e-28
27,29,2.6916734791902105e-27,1.126015035805994e-31,5.054970291142061e-25,3.5654115709014404e-26,1.126015035805994e-31,3.496517662158037e-29
28,30,5.376522129118083e-30,9.646195473404681e-33,4.8110137318205605e-28,4.7826836685358115e-29,9.646195473404681e-33,3.0983054386892462e-30
29,31,9.350704495179154e-31,8.263574122216677e-34,4.404723490870434e-29,6.159828526282416e-30,8.263574122216677e-34,2.742413373088951e-31
30,32,1.245401091353011e-31,7.079128498032288e-35,4.024127786591771e-30,6.858491379736523e-31,7.079128498032288e-35,2.424890735670336e-32
31,33,7.685804795242337e-33,6.064453413314326e-36,3.669051980111742e-31,5.132300713909844e-32,6.064453413314326e-36,2.1420498951245964e-33
