,N,average,min,max,std,5_percentile,95_percentile
0,2,0.11850149120000002,0.05210567111111109,1.0,0.1476719364571671,0.05210567111111109,0.40442766222222215
1,3,0.0502388705408948,0.011893987858962955,1.0,0.09229776079526227,0.011893987858962955,0.13252903761540735
2,4,0.026436066830405367,0.002715000961939277,0.6452935904739125,0.06580344632345554,0.002715000961939277,0.22562712668078072
3,5,0.013540613467163723,0.0006197442195786721,0.32142299148262626,0.03736248690922527,0.0006197442195786721,0.08193332947801243
4,6,0.0043165709869533485,0.0001414669471891582,0.13660083632493225,0.014819188865143844,0.0001414669471891582,0.027265822631092604
5,7,0.002238834578956117,3.22921884783785e-05,0.05222336175693974,0.008278785735887816,3.22921884783785e-05,0.008547668286707255
6,8,0.0013740480478461597,7.371230223331197e-06,0.08592935026436714,0.006681371876525796,7.371230223331197e-06,0.002565845309024216
7,9,0.0004890942333681084,1.682606152312401e-06,0.006207047420239633,0.0014054500059513374,1.682606152312401e-06,0.006207047420239633
8,10,0.0001997306683939998,3.840828977011773e-07,0.012529630766154083,0.0009564319340623678,3.840828977011773e-07,0.0002109238521821542
9,11,9.290002634365142e-05,8.767332278192206e-08,0.004397383564786785,0.0004563290022468818,8.767332278192206e-08,0.0006174823085880267
10,12,4.4152487155418605e-05,2.001289714702007e-08,0.0014803077686696632,0.000209391236358815,2.001289714702007e-08,0.00018606957854720848
11,13,3.3299585323912746e-05,4.568277322093114e-09,0.003078398572814467,0.00022878708542356247,4.568277322093114e-09,5.476671742189637e-05
12,14,2.1263999692029932e-05,1.0427854367231213e-09,0.0010742861650299398,0.00013172465107736254,1.0427854367231213e-09,1.5803031059163763e-05
13,15,1.5897295152524268e-05,2.380331556893311e-10,0.002141720969247263,0.00015506080362591041,2.380331556893311e-10,4.483253668351944e-06
14,16,6.78429275722178e-07,5.4335035005351296e-11,1.4172983114886858e-05,2.6030623338712926e-06,5.4335035005351296e-11,1.253343852840306e-06
15,17,2.4092812362003776e-06,1.2402877323888187e-11,0.0002673215958186532,1.9534913607893016e-05,1.2402877323888187e-11,4.202466841723465e-06
16,18,1.0806913523023743e-06,2.831163463799543e-12,9.042536452856889e-05,9.02409958177173e-06,2.831163463799543e-12,1.2262421687578513e-06
17,19,1.0107030995366436e-07,6.462602466699755e-13,3.671984556014074e-06,5.167951725888804e-07,6.462602466699755e-13,3.5276274473777183e-07
18,20,5.431384943541785e-07,1.4751967230653304e-13,6.738366067474273e-05,4.927134778906391e-06,1.4751967230653304e-13,1.002068451419928e-07
19,21,7.878789201240376e-08,3.367382386517127e-14,3.0594885060056007e-06,4.312704804415807e-07,3.367382386517127e-14,3.3080721853291205e-07
20,22,3.3236709266418176e-07,7.686611527623094e-15,4.952569393804212e-05,3.5681552752976385e-06,7.686611527623094e-15,9.723210032524994e-08
21,23,1.9177988028933915e-08,1.7545971913720978e-15,2.4644054386214512e-06,1.781375749761681e-07,1.7545971913720978e-15,3.459044538343691e-09
22,24,3.9861285468205777e-08,4.005160522172041e-16,5.8163151945269286e-06,4.171048902327645e-07,4.005160522172041e-16,8.107873268112063e-09
23,25,3.1457496611310764e-09,9.142446418611378e-17,2.483593134112851e-07,2.4923858796233135e-08,9.142446418611378e-17,2.3050305528196317e-09
24,26,6.788933195214279e-10,2.0869157691550233e-17,7.713038465115232e-08,5.581675672587455e-09,1.855307126550202e-15,6.492860980561914e-10
25,27,2.1420187171388848e-10,4.763733062391199e-18,2.3644475339074948e-08,1.7132263926577865e-09,4.763733062391199e-18,1.8134643348203105e-10
26,28,5.356499006794424e-10,1.0874014670418308e-18,6.485001987309936e-08,4.694779048042179e-09,1.0874014670418308e-18,6.620140569326083e-10
27,29,2.567642689947541e-11,2.4821750821008185e-19,2.1458029660163105e-09,2.1434260132231649e-10,2.4584552314330798e-17,1.3826357208590025e-11
28,30,9.501382867250945e-12,5.665978320742134e-20,6.363669904555978e-10,6.408398692732816e-11,5.803391533287237e-18,5.401796469917389e-11
29,31,1.407840098859451e-11,1.2933539846814041e-20,1.9284441855355675e-09,1.3821960261241173e-10,1.3684470840256402e-18,1.524646067325732e-11
30,32,1.2793970988414357e-11,2.952296029032751e-21,5.84474174180154e-10,8.193945952039974e-11,3.22352098198034e-19,4.272160611052285e-12
31,33,7.08113723472978e-11,6.739107735605425e-22,1.3844914572086364e-08,9.765028927856502e-10,7.586062420414342e-20,1.9157460380469485e-12
32,34,6.807044221081917e-13,1.538313659114198e-22,5.2179346189079715e-11,5.23258073793576e-12,1.783653122598159e-20,3.288227628924314e-13
33,35,2.7888068651054094e-13,3.511457312538009e-23,1.5388878735516783e-11,1.877406474530641e-12,4.19020232063677e-21,9.039764105613997e-14
34,36,3.07340981582687e-13,8.015486558753425e-24,4.804791295503516e-11,3.414462850052934e-12,9.835826029573133e-22,3.625201801119606e-13
35,37,9.58827762504232e-14,1.829668398478115e-24,1.444249249946674e-11,1.029439398273709e-12,2.3070494032866463e-22,1.0182303428215261e-13
36,38,2.4667173346211556e-13,4.176523064259376e-25,4.282518254396708e-11,3.0340450774532916e-12,5.407426380440868e-23,2.8429256480182176e-14
37,39,2.0141286214136004e-14,9.533609981349401e-26,1.2738564268660188e-12,1.5490888523408854e-13,1.2665668157698795e-23,7.892888270784376e-15
38,40,4.620261853202406e-15,2.1762053717426893e-26,3.7413208982485294e-13,3.744661793643617e-14,2.964723897560112e-24,2.179670634929909e-15
39,41,1.345715307364027e-15,4.967551461897978e-27,1.0912941197290008e-13,1.091758205147083e-14,6.935421439385835e-25,5.988983371387432e-16
40,42,2.3576997655978146e-15,1.6214617843790936e-25,3.571436514900237e-13,2.544430773939272e-14,1.6214617843790936e-25,2.4481911559147022e-15
