,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.030198508640000003,0.003528360000000001,1.0,0.0965492973428141,,,0.003528360000000001,0.003528360000000001
1,3,0.006773686871589334,0.0002095845840000001,1.0,0.031124709534985293,,,0.0002095845840000001,0.010165910832000002
2,4,0.001561517926260036,1.2449324289600008e-05,1.0,0.020192637436993743,,,1.2449324289600008e-05,0.0008009903631312004
3,5,0.0002777924873479328,7.394898628022405e-07,0.0312756902248928,0.0021690440523024364,,,7.394898628022405e-07,5.9288661996791076e-05
4,6,6.499252423629943e-05,4.392569785045309e-08,0.04508470810481401,0.000894774652727837,,,4.392569785045309e-08,4.217310687561178e-06
5,7,8.468462097560075e-05,2.609186452316914e-09,0.06067122276623868,0.0019371492033081546,,,2.609186452316914e-09,2.918247662392702e-07
6,8,9.377962853165784e-06,1.5498567526762471e-10,0.009358857849362528,0.0002443683339395929,,,1.5498567526762471e-10,1.978859189166194e-08
7,9,1.3953011374552523e-06,9.206149110896909e-12,0.0012309792465293433,3.2271945753564706e-05,,,9.206149110896909e-12,1.3212218845214472e-09
8,10,1.8741551021572927e-07,5.468452571872765e-13,0.00014468827126068803,3.8084024840344047e-06,,,5.468452571872765e-13,8.71398837942836e-11
9,11,4.2694728586127e-08,3.2482608276924226e-14,1.5636903398771772e-05,7.029719032579294e-07,,,3.2482608276924226e-14,4.536622380102512e-10
10,12,2.4196126931520716e-08,1.9294669316492994e-15,2.9690597358934452e-05,7.695350827595838e-07,,,1.9294669316492994e-15,3.2299994662370056e-11
11,13,1.6684081166004514e-09,1.146103357399684e-16,3.252788281076417e-06,5.995123793653814e-08,,,1.146103357399684e-16,2.2652939565330775e-12
12,14,3.2070098358747855e-10,6.8078539429541245e-18,3.363202568018489e-07,8.74568793976141e-09,,,6.8078539429541245e-18,1.5685796698332198e-13
13,15,2.686785678287622e-10,4.04386524211475e-19,6.827966580856674e-07,1.2507558587507796e-08,,,9.645639780535122e-17,1.0743352907523872e-14
14,16,7.197087128450221e-12,2.402055953816162e-20,3.1398874172966535e-09,1.4053722655147633e-10,,,6.109875994311176e-18,7.288820504826315e-16
15,17,8.320124981425819e-12,1.4268212365668005e-21,7.214865668075904e-09,2.286079964587025e-10,,,3.855203723636787e-19,4.904254315891741e-17
16,18,5.880990633329335e-13,8.475318145206795e-23,6.988939455148664e-10,1.81142142973609e-11,,,2.4241978173517255e-20,3.2757475258849712e-18
