,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.3862119632592593,0.38605511111111107,0.8566115555555555,0.008589713996384696,,,0.38605511111111107,0.38605511111111107
1,3,0.2405998400474074,0.239868909037037,0.6784275152592592,0.017889153837191665,,,0.239868909037037,0.239868909037037
2,4,0.15000740599071388,0.1490385488150123,0.512359989703111,0.018736806047557023,,,0.1490385488150123,0.1490385488150123
3,5,0.09279073809867638,0.0926026183303943,0.37478227075348425,0.007283418275818396,,,0.0926026183303943,0.0926026183303943
4,6,0.0578877487706961,0.05753709352261833,0.2679302423692742,0.008582103629045774,,,0.05753709352261833,0.05753709352261833
5,7,0.036308923513676906,0.03574971410872019,0.18826137000600715,0.009218092925583557,,,0.03574971410872019,0.03574971410872019
6,8,0.022429084634098175,0.022212489032884808,0.13051028963956784,0.004838379230488735,,,0.022212489032884808,0.022212489032884808
7,9,0.013977993565221924,0.013801359852432426,0.08950152247650385,0.003652396653509155,,,0.013801359852432426,0.013801359852432426
8,10,0.008732028369568315,0.00857524492164468,0.06083639422952213,0.0028581641190452926,,,0.00857524492164468,0.00857524492164468
9,11,0.005470960525369724,0.005328085511315228,0.0410468390249392,0.0022545296938889553,,,0.005328085511315228,0.005328085511315228
10,12,0.003415430686805332,0.003310517131030528,0.027521337694446923,0.00159029444422989,,,0.003310517131030528,0.003310517131030528
11,13,0.002116688742624928,0.002056934644080301,0.018353506974433248,0.0009849956531247633,,,0.002056934644080301,0.002056934644080301
12,14,0.0013870870207867369,0.001278042058855227,0.012182538252006261,0.001084983672016224,,,0.001278042058855227,0.001278042058855227
13,15,0.0008424853251973656,0.0007940901325687144,0.008053369026866403,0.0005907386103557773,,,0.0007940901325687144,0.0007940901325687144
14,16,0.0005286762700905295,0.0004933946690360278,0.005304522085559012,0.0004104868898749036,,,0.0004933946690360278,0.0004933946690360278
15,17,0.00033197172195684866,0.00030656255436105193,0.0034827085038356418,0.0002829445156581048,,,0.00030656255436105193,0.00030656255436105193
