,N,average,min,max,std,5_percentile,95_percentile
0,2,0.8888502385999999,0.003528360000000001,1.0,0.29417651453836224,0.11527164000000001,1.0
1,3,0.82287826705636,0.010165910832000002,1.0,0.3440422871371283,0.16782450458400003,1.0
2,4,0.8228531379398053,0.019530831300868804,1.0,0.33485259415993524,0.21725572901171042,1.0
3,5,0.8089634332225981,0.0312756902248928,1.0,0.33303406469895847,0.26375073870841487,1.0
4,6,0.7902526437219097,0.0036576544650503777,1.0,0.3263917415260392,0.307483944829135,1.0
5,7,0.7620145516216188,0.00037663181678109745,0.9999999999999999,0.3330791335726451,0.34861939850628443,0.9999999999999999
6,8,0.7098912569927416,0.009358857849362528,1.0,0.34393641096148203,0.0777753444051974,1.0
7,9,0.7226945615617467,0.01342279715077912,0.9999999999999999,0.3273205463004836,0.09616178647788834,0.9999999999999999
8,10,0.7494811261488039,0.01833749311680941,1.0,0.32904523450554496,0.11561785981815806,1.0
9,11,0.7013465234167501,0.002928283031315777,1.0,0.3291042528663926,0.13595161824466662,1.0
10,12,0.6920518253190912,0.004186830265048469,1.0,0.3228794533665811,0.15699014473823797,1.0
11,13,0.7069738987063916,0.0382571166191187,1.0,0.31586680078944546,0.1715619254619482,1.0
12,14,0.6366102309384017,0.007695235181257389,1.0,0.33404384521997127,0.04659217519308087,1.0
13,15,0.6783791557992924,0.0013414200303260232,1.0,0.31779743406036065,0.05573879063686117,1.0
14,16,0.6765831198480461,0.012722258204762454,0.9999999999999999,0.3000973863607862,0.06566568273657625,0.9999999999999999
15,17,0.635411718953225,0.01586709762195219,1.0,0.30112124132371754,0.07633680811828142,1.0
16,18,0.6671569289691403,0.019458998425434148,0.9999999999999999,0.29221041591282115,0.08771237005685084,0.9999999999999999
17,19,0.656560676782657,0.023513248700340307,1.0,0.30121036913864796,0.09974970531119659,1.0
18,20,0.6100552324016426,0.028041694223025167,1.0,0.3258427031858973,0.1124040602091092,1.0
19,21,0.6445725098660433,0.0067444149298382505,1.0,0.3001662974167988,0.12562926711686098,1.0
20,22,0.6184991243695406,0.008307134117504212,1.0,0.32850345025211247,0.03855185979484174,1.0
21,23,0.6123831616673704,0.010103670822738064,1.0,0.30935233550738805,0.15360393831399038,1.0
22,24,0.6315376495278562,0.0023304876680004505,1.0,0.3183511920764417,0.051019293584597225,1.0
23,25,0.6509143863518364,0.014458126203041495,1.0,0.2936618900480596,0.17703080727308912,1.0
24,26,0.6156878841746725,0.0035994594907194435,1.0,0.3001743975977582,0.06542692590816007,1.0
25,27,0.6247804135374547,0.004398036865505642,0.9999999999999999,0.28965769541160385,0.07334160916701948,0.9999999999999999
26,28,0.596956129459732,0.0010178984112480978,1.0,0.29143063613047643,0.08171672912446305,1.0
27,29,0.5996665534678399,0.02657326430066314,1.0,0.2991517269207759,0.09053968349627103,1.0
28,30,0.5899136862258022,0.0075752377995675965,1.0,0.313310767498623,0.09632495406313542,1.0
29,31,0.6141407552095105,0.0019328239287422187,1.0,0.30681607506554276,0.10572144194246369,1.0
30,32,0.610382744864002,0.002348421564811733,1.0,0.2936821627424241,0.11954441450036592,1.0
31,33,0.5772668641307775,0.012141122956718677,0.9999999999999999,0.294644761518945,0.04373734280361767,0.9999999999999999
32,34,0.5979782999012525,0.014017938415624478,1.0,0.30209021583815404,0.04886137804292683,1.0
33,35,0.5859858294817614,0.016087638729486237,0.9999999999999999,0.2971544559533887,0.05432366792850027,0.9999999999999999
34,36,0.6174587425099424,0.018358858863907673,1.0,0.3063901483563381,0.06012444358407971,1.0
35,37,0.5635888049558612,0.005541000913286869,1.0,0.30629277476875766,0.0662626793634225,1.0
36,38,0.6283514772541489,0.0015165597413048107,1.0,0.2844955247921256,0.07273613721917534,1.0
37,39,0.5938828931754461,0.0018095909868982914,1.0,0.301731208148461,0.07954141690878129,1.0
38,40,0.5757669145460428,0.00859310961038823,1.0,0.2998540852401345,0.08667401110780101,1.0
39,41,0.6374210296645066,0.009841706395960369,1.0,0.27449535644219397,0.09412836455624321,1.0
40,42,0.6087833820555406,0.0006822768520056747,0.9999999999999999,0.3059858192093054,0.10189793642104845,0.9999999999999999
41,43,0.570897414523248,0.00081774594485167,1.0,0.3058136114411581,0.04051023833434772,1.0
42,44,0.5810197042904496,0.004004095711111465,1.0,0.28705464207329334,0.11835203488480152,0.9357988985004709
