,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.6968044451318519,0.6838187377777777,0.9999999999999999,0.05959376374834256,,,0.6838187377777777,0.6838187377777777
1,3,0.5914646375961408,0.5654725082263703,0.9948162948930369,0.09265270190204211,,,0.5654725082263703,0.5654725082263703
2,4,0.5070329927985774,0.46760806613599315,0.9819565592636832,0.11869947134315337,,,0.46760806613599315,0.46760806613599315
3,5,0.4368712806126311,0.38668069682339057,0.9606882711641495,0.13542813090598158,,,0.38668069682339057,0.38668069682339057
4,6,0.38397565094769526,0.3197591575598224,0.9313758438767474,0.15204372848146971,,,0.3197591575598224,0.3197591575598224
5,7,0.33049473971828985,0.26441950602480246,0.9798546902864719,0.1512359185555943,,,0.26441950602480246,0.26441950602480246
6,8,0.28663920259930403,0.21865730351544332,0.9651720636705132,0.15199280826566824,,,0.21865730351544332,0.21865730351544332
7,9,0.26019445487509696,0.1808150128537039,0.9457455782791159,0.1572728154759086,,,0.1808150128537039,0.1808150128537039
8,10,0.23052312534693972,0.1495219612958229,0.9216489657996266,0.1555850364871352,,,0.1495219612958229,0.1495219612958229
9,11,0.20518062432457768,0.12364469386089247,0.9714646959988908,0.1493380161187412,,,0.12364469386089247,0.40829463564512714
10,12,0.18663343692075765,0.10224591884336734,0.8608158938223882,0.1451205219072195,,,0.10224591884336734,0.35903121905366886
11,13,0.16427397383511616,0.08455055848887523,0.9411117996530445,0.13990380399326885,,,0.08455055848887523,0.3145902430972726
12,14,0.1494730777572303,0.06991767516640056,0.7867647492843038,0.13591125581102836,,,0.06991767516640056,0.27477804168104597
13,15,0.13942337255985557,0.05781725618426883,0.8978006135647414,0.1330291877257819,,,0.05781725618426883,0.2393235409162447
14,16,0.11917559234459117,0.0478110163806447,0.871596149594558,0.1214622620209501,,,0.0478110163806447,0.2079108532386307
15,17,0.10979884756664358,0.03953652314570112,0.8427036899424556,0.11627625044077808,,,0.03953652314570112,0.18020290813974194
16,18,0.09749930863988712,0.03269406887328512,0.8114601249069706,0.10315287112732638,,,0.03269406887328512,0.15585824577677326
17,19,0.09485407719121863,0.027035815353615236,0.9044709682750077,0.10776946566692717,,,0.027035815353615236,0.13454263222734292
18,20,0.08226815850316439,0.02235681690974956,0.7434476435110756,0.10041451103980735,,,0.02235681690974956,0.1159367857870631
19,21,0.07146881934041448,0.018487597129902233,0.7074819115848858,0.0859791906175419,,,0.018487597129902233,0.09974121250669604
20,22,0.06720389528216475,0.01528801031995382,0.6707427048591539,0.08587418928625022,,,0.01528801031995382,0.0856789201388189
21,23,0.06144367982550328,0.012642165333913812,0.6336105246925928,0.07959422765739552,,,0.012642165333913812,0.07349660001283399
22,24,0.055322968924603894,0.010454227920124461,0.5964403003274048,0.07411501277087154,,,0.010454227920124461,0.06296472585106887
23,25,0.05149978038593882,0.00864494954141492,0.7439793284956581,0.07385468996403949,,,0.00864494954141492,0.05387690900915342
24,26,0.04701964282464235,0.007148796940780711,0.7120617187352593,0.07010433710797567,,,0.007148796940780711,0.04604876455727014
25,27,0.042785127366500156,0.005911578483562929,0.6793837605823461,0.06636919571529401,,,0.005911578483562929,0.03931647682844304
26,28,0.04089887296193894,0.004888481300674305,0.646219792069995,0.06681336375133634,,,0.004888481300674305,0.03353520242155578
27,29,0.03488197129578157,0.0040424481369042715,0.6128335769048887,0.05662731638662023,,,0.0040424481369042715,0.028577409886235236
28,30,0.0315882176985547,0.0033428351126773724,0.5794736997539682,0.051585792144013674,,,0.0033428351126773724,0.02433122583948435
29,31,0.031902804026636575,0.002764301782510008,0.5463700264595669,0.054009869595722966,,,0.002764301782510008,0.020698835017698293
30,32,0.02792441248205037,0.002285893287350276,0.5137311626907044,0.04896437587710313,,,0.002285893287350276,0.017594965132461702
31,33,0.025815431292388648,0.0018902813557528549,0.6576787062245607,0.049934311438554896,,,0.0018902813557528549,0.014945475098467751
32,34,0.023957061298773626,0.0015631366624505607,0.6272300687937992,0.047267917642011756,,,0.0015631366624505607,0.01268605623472856
33,35,0.02274601959035789,0.0012926098107357835,0.4203417537452324,0.04390939347967503,,,0.0012926098107357835,0.01076104962075298
34,36,0.022110680655176376,0.0010689021394911105,0.39118179823069915,0.04506466859804067,,,0.0010689021394911105,0.03861846200046491
35,37,0.01880035503686111,0.0008839108092165156,0.36317921075697496,0.03632383484003438,,,0.0008839108092165156,0.03351367311544852
36,38,0.01698050200223341,0.0007309353118347773,0.5059762276002059,0.03460094533152092,,,0.0007309353118347773,0.029051134736018988
37,39,0.014258011278681409,0.0006044347738665719,0.31090944453709235,0.029809124250277458,,,0.0006044347738665719,0.025155900680054424
38,40,0.01398201239359008,0.0004998272623360638,0.28672607843422404,0.030467801446581847,,,0.0004998272623360638,0.021760688344960376
39,41,0.013916361744483453,0.00041332382413443566,0.5834736382123035,0.032619258385048124,,,0.00041332382413443566,0.018805304920082727
40,42,0.012209225569107574,0.00034179124763756934,0.39301758414373694,0.026857736419335834,,,0.00034179124763756934,0.01623607138830584
41,43,0.010465994953258213,0.000282638575713094,0.36694149124561093,0.024774294968166327,,,0.000282638575713094,0.014005257297334608
42,44,0.009533508558797822,0.0002337232595430145,0.20323602874015545,0.021353724101148476,,,0.0002337232595430145,0.012070535714685
