,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
23,25,1.2794351560826667e-23,2.211368528354929e-31,1.1875434372045313e-20,3.7551317878363034e-22,,,2.211368528354929e-31,8.776378154015225e-29
24,26,1.7718437566535544e-23,1.313552905842828e-32,4.855104111062154e-20,8.869560407060044e-22,,,1.313552905842828e-32,5.421169947262108e-30
25,27,1.1788400610209324e-22,7.802504260706398e-34,1.7668303656146795e-19,4.560413617883148e-21,,,7.802504260706398e-34,3.3437277349972695e-31
26,28,8.273959842870014e-27,4.6346875308596016e-35,4.5952821754775155e-24,1.8751277570584833e-25,,,4.6346875308596016e-35,2.0595646296645822e-32
27,29,6.028371479505831e-28,2.753004393330604e-36,3.2965171663247744e-25,1.3452372144069994e-26,,,2.753004393330604e-36,1.2669752609360276e-33
28,30,5.652573584824206e-26,1.6352846096383789e-37,8.466524870572376e-23,2.1853168130018856e-24,,,1.6352846096383789e-37,1.791475962399288e-32
29,31,4.670942018200499e-30,9.713590581251972e-39,1.66260461450753e-27,8.575497314749391e-29,,,9.713590581251972e-39,1.137360368395085e-33
30,32,5.675108729095023e-30,5.769872805263672e-40,8.360232417074824e-27,2.158068726093072e-28,,,5.769872805263672e-40,7.205336876550646e-35
31,33,4.225422320198652e-31,3.427304446326622e-41,6.066463111119967e-28,1.5662125549788744e-29,,,3.427304446326622e-41,4.555517268976348e-36
32,34,7.432875897978117e-32,2.0358188411180135e-42,4.37359598190955e-29,1.784177923729661e-30,,,2.0358188411180135e-42,2.874757043473687e-37
33,35,1.2123889602429196e-33,1.2092763916241002e-43,3.134040337983227e-30,5.726115771612916e-32,,,1.2092763916241002e-43,1.8108931099722205e-38
34,36,5.376265133785462e-33,7.183101766247156e-45,1.5192810423873575e-29,2.774493008331006e-31,,,7.183101766247156e-45,1.1388243851204757e-39
35,37,2.258262551101236e-35,4.266762449150812e-46,1.582535442156177e-32,5.776508797096842e-34,,,4.266762449150812e-46,7.150449692917151e-41
36,38,2.780815467916562e-35,2.5344568947955823e-47,8.096732275601668e-32,1.478273837883621e-33,,,2.5344568947955823e-47,4.4829069215472586e-42
37,39,5.678897942342178e-38,1.505467395508576e-48,7.830798669320104e-35,2.0220440924318078e-36,,,1.505467395508576e-48,2.8065322806921745e-43
38,40,1.5383279767037537e-37,8.942476329320943e-50,4.216842723905498e-34,7.701865813667046e-36,,,8.942476329320943e-50,1.7546717087832775e-44
39,41,6.790209193860571e-37,5.311830939616641e-51,2.0365829440251816e-33,3.7176547378084687e-35,,,3.453942057436921e-48,1.0956362959440914e-45
40,42,2.9062905089895143e-41,3.1552275781322853e-52,2.6364171500909236e-38,8.336228146349751e-40,,,3.1552275781322853e-52,6.832957387830421e-47
41,43,2.2422392644156936e-37,1.8742051814105776e-53,6.725077463160604e-34,1.2276208196512073e-35,,,1.8742051814105776e-53,4.25645362306105e-48
42,44,7.317696924911083e-42,1.1132778777578833e-54,1.0775493319044041e-38,2.7815394731910935e-40,,,7.767793310770652e-52,2.648545070624621e-49
