,N,average,min,max,std,5_percentile,95_percentile
0,2,0.007338777777777778,0.007338777777777778,0.007338777777777778,0.0,0.007338777777777778,0.007338777777777778
1,3,0.0006286886296296295,0.0006286886296296297,0.0006286886296296297,1.0842021724855044e-19,0.0006286886296296297,0.0006286886296296297
2,4,6.535427867876542e-05,5.385765927160494e-05,0.002353181540703704,0.00016217977463551603,5.385765927160494e-05,5.385765927160494e-05
3,5,5.844902472450926e-06,4.6138061442674905e-06,0.0002508330717809547,1.7366750867219844e-05,4.6138061442674905e-06,4.6138061442674905e-06
4,6,1.028032905711868e-06,3.952493930255817e-07,2.5706589900477032e-05,3.951731770145365e-06,3.952493930255817e-07,3.952493930255817e-07
5,7,7.18056159799458e-08,3.385969800252483e-08,2.5635875631639227e-06,3.074946396044352e-07,3.385969800252483e-08,3.385969800252483e-08
6,8,4.1390094838286335e-09,2.900647462216294e-09,2.5057305178468455e-07,1.7469246086130606e-08,2.900647462216294e-09,2.900647462216294e-09
7,9,3.678359390960852e-10,2.4848879926319587e-10,2.4117916765841078e-08,1.6835985915508365e-09,2.4848879926319587e-10,2.4848879926319587e-10
8,10,2.128720713688044e-11,2.1287207136880444e-11,2.1287207136880444e-11,3.2311742677852644e-27,2.1287207136880444e-11,2.1287207136880444e-11
9,11,6.105596751000048e-12,1.8236040780594248e-12,2.1592323772509062e-10,2.9973948710584366e-11,1.8236040780594248e-12,1.8236040780594248e-12
10,12,4.563508418541108e-13,1.5622208268709074e-13,2.01648060271551e-11,2.4320925557764464e-12,1.5622208268709074e-13,1.5622208268709074e-13
11,13,3.195210257199066e-14,1.3383025083527439e-14,1.87029077392985e-12,1.8475998819680258e-13,1.3383025083527439e-14,1.3383025083527439e-14
12,14,4.572712010539656e-15,1.1464791488221841e-15,1.7245812223469576e-13,2.3983630032022293e-14,1.1464791488221841e-15,1.1464791488221841e-15
13,15,9.821504708243377e-17,9.821504708243377e-17,9.821504708243377e-17,0.0,9.821504708243377e-17,9.821504708243377e-17
14,16,8.413755700061826e-18,8.413755700061826e-18,8.413755700061826e-18,0.0,8.413755700061826e-18,8.413755700061826e-18
