,N,average,min,max,std,5_percentile,95_percentile
0,2,0.12026310115555557,0.05210567111111109,1.0,0.14896517847847818,0.05210567111111109,0.40442766222222215
1,3,0.05535079153057185,0.011893987858962955,0.5403769745256295,0.10943284570911016,0.011893987858962955,0.13252903761540735
2,4,0.04100477219966276,0.002715000961939277,0.6452935904739125,0.09429930021403929,0.002715000961939277,0.22562712668078072
3,5,0.0160448858656557,0.0006197442195786721,0.32142299148262626,0.038667888970845714,0.0006197442195786721,0.08193332947801243
4,6,0.005405733169100617,0.0001414669471891582,0.13660083632493225,0.017705058910728336,0.0001414669471891582,0.027265822631092604
5,7,0.003557929342082564,3.22921884783785e-05,0.19988394225092665,0.0158784448247924,3.22921884783785e-05,0.008547668286707255
6,8,0.002481525204614545,7.371230223331197e-06,0.08592935026436714,0.010988142201353916,7.371230223331197e-06,0.01851737324951232
7,9,0.001086519084880758,1.682606152312401e-06,0.03390528053610317,0.004843121842522494,1.682606152312401e-06,0.006207047420239633
8,10,0.0005156947149856428,3.840828977011773e-07,0.012529630766154083,0.0021522075908218105,3.840828977011773e-07,0.001991991856296666
9,11,0.00019992857656594366,8.767332278192206e-08,0.004397383564786785,0.0007572242486069083,8.767332278192206e-08,0.0006174823085880267
10,12,0.0001020223841844294,2.001289714702007e-08,0.008481289679350756,0.0006308602825671478,2.001289714702007e-08,0.00018606957854720848
11,13,3.9839833325951825e-05,4.568277322093114e-09,0.003078398572814467,0.0002329380859830725,4.568277322093114e-09,5.476671742189637e-05
12,14,2.063495958768424e-05,1.0427854367231213e-09,0.0010742861650299398,0.00011045902045592467,1.0427854367231213e-09,0.0001521759333287279
13,15,2.6193980156600212e-05,2.380331556893311e-10,0.002141720969247263,0.00021434470564464465,2.380331556893311e-10,4.693241888389627e-05
14,16,1.7671270885038738e-06,5.4335035005351296e-11,0.00011900317757571696,9.001525964779031e-06,5.4335035005351296e-11,1.4172983114886858e-05
15,17,5.8978999599355964e-06,1.2402877323888187e-11,0.0002673215958186532,3.3112783354855555e-05,1.2402877323888187e-11,3.8102222170479004e-05
16,18,2.450556957161806e-06,2.831163463799543e-12,9.042536452856889e-05,1.2833180535004674e-05,2.831163463799543e-12,1.1940650991434063e-05
17,19,8.606090649280706e-07,6.462602466699755e-13,2.9856094934844034e-05,4.671857908413263e-06,6.462602466699755e-13,3.5276274473777183e-07
18,20,3.1084065095616893e-07,1.4751967230653304e-13,9.648944151821659e-06,1.5145458711632803e-06,1.4751967230653304e-13,1.110430443525109e-06
19,21,4.0851132788537563e-07,3.367382386517127e-14,2.282785544345377e-05,2.7920877124325346e-06,2.4244366411337687e-12,3.3080721853291205e-07
20,22,7.977501049772927e-08,7.686611527623094e-15,7.571947732260436e-06,5.593372865440165e-07,7.686611527623094e-15,9.723210032524994e-08
21,23,6.270779768017014e-08,1.7545971913720978e-15,2.4644054386214512e-06,3.4785294633204054e-07,1.7545971913720978e-15,2.9272928370688065e-07
22,24,1.0308840261599543e-08,4.005160522172041e-16,7.884505606687132e-07,7.919370803017814e-08,4.005160522172041e-16,8.107873268112063e-09
23,25,1.4318766820705915e-08,9.142446418611378e-17,1.936144461090748e-06,1.3957624777315783e-07,7.818714164963372e-15,2.3050305528196317e-09
24,26,4.95482830872303e-09,2.0869157691550233e-17,6.336244031215838e-07,4.556774695036711e-08,2.0869157691550233e-17,7.824178735364431e-09
25,27,5.808487788602861e-10,4.763733062391199e-18,2.3644475339074948e-08,3.325014214492942e-09,4.3961019804968506e-16,2.287074924065752e-09
26,28,7.622868904665479e-10,1.0874014670418308e-18,6.485001987309936e-08,6.481473040580906e-09,1.0402468613682414e-16,6.620140569326083e-10
27,29,8.474664708624278e-10,2.4821750821008185e-19,2.033045074401848e-08,3.9828526722694575e-09,2.4584552314330798e-17,2.8769458214100466e-10
28,30,3.583752072247982e-10,5.665978320742134e-20,5.307574804950895e-08,3.790732431736751e-09,5.803391533287237e-18,6.363669904555978e-10
29,31,6.694825363612645e-10,1.2933539846814041e-20,1.2888766037118052e-07,9.091205362374462e-09,1.3684470840256402e-18,1.524646067325732e-11
30,32,8.879130920835241e-11,2.952296029032751e-21,5.3630342145549575e-09,6.535166350780019e-10,3.22352098198034e-19,5.444038946684672e-11
31,33,7.419862263486847e-11,6.739107735605425e-22,1.3844914572086364e-08,9.765653012508419e-10,7.586062420414342e-20,1.572389498453496e-11
32,34,1.843875464818767e-12,1.538313659114198e-22,5.2179346189079715e-11,8.911061855595932e-12,1.783653122598159e-20,4.5068330754442685e-12
33,35,6.365212276188397e-11,3.511457312538009e-23,1.1079534499529502e-08,7.87328423933463e-10,4.19020232063677e-21,1.2825232502375975e-12
