,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.13045793858370372,0.05210567111111109,1.0,0.16748864105519246,,,0.05210567111111109,0.05210567111111109
1,3,0.054087231185654505,0.011893987858962955,1.0,0.09884799234113836,,,0.011893987858962955,0.13252903761540735
2,4,0.02368310427584933,0.002715000961939277,0.6452935904739125,0.05145731204114576,,,0.002715000961939277,0.039430948550033984
3,5,0.01204605476620218,0.0006197442195786721,0.7262612402217341,0.039571931049510706,,,0.0006197442195786721,0.011096027931381695
4,6,0.006022957582128735,0.0001414669471891582,0.4138340690614732,0.02109110410990645,,,0.0001414669471891582,0.003011130581526241
5,7,0.0031463202497845635,3.22921884783785e-05,0.19988394225092665,0.012940692847188285,,,3.22921884783785e-05,0.0007965154994538363
6,8,0.0018765918986574548,7.371230223331197e-06,0.5764665938999685,0.013785884325478722,,,7.371230223331197e-06,0.00020673889626370964
7,9,0.0008025540903390419,1.682606152312401e-06,0.12754860604697832,0.005211191964305098,,,1.682606152312401e-06,5.288022279148157e-05
8,10,0.0005422268571337258,3.840828977011773e-07,0.17572705654092902,0.0052738574354443644,,,3.840828977011773e-07,0.0002109238521821542
9,11,0.00016438913921665698,8.767332278192206e-08,0.02228832740779484,0.0010692997961627665,,,8.767332278192206e-08,5.8464431029952e-05
10,12,9.41873769058578e-05,2.001289714702007e-08,0.03609536513623893,0.0008831960640968519,,,2.001289714702007e-08,1.592938185753316e-05
11,13,5.161738174965017e-05,4.568277322093114e-09,0.014784662636976429,0.0005797879371362301,,,4.568277322093114e-09,4.278181188224197e-06
12,14,3.433412632817031e-05,1.0427854367231213e-09,0.02381877682409235,0.0005225606674037949,,,5.039967183190301e-08,1.1350403143315868e-06
13,15,1.4840203508197328e-05,2.380331556893311e-10,0.009874922713418492,0.00021417193603818138,,,1.2309317371196185e-08,2.9798697582649745e-07
14,16,4.769575766623047e-06,5.4335035005351296e-11,0.0007687626032895149,4.419672924445529e-05,,,2.993504965949028e-09,7.752000420792627e-08
15,17,3.079403931956239e-06,1.2402877323888187e-11,0.00148510689967646,4.2850688918757996e-05,,,7.252495579087611e-10,2.0005420526251033e-08
16,18,3.686214840624791e-06,2.831163463799543e-12,0.002659863789464625,8.540933768238942e-05,,,1.7512201294539512e-10,9.440117356942774e-08
17,19,6.919738432407076e-07,6.462602466699755e-13,0.0010279854987220896,1.9506409077262308e-05,,,4.215942137213176e-11,2.5504754591202647e-08
18,20,1.8669479935740886e-07,1.4751967230653304e-13,6.738366067474273e-05,2.2993783593806133e-06,,,1.0122331159575383e-11,6.829231953505104e-09
19,21,1.0082723948747686e-07,3.367382386517127e-14,2.282785544345377e-05,1.2088569242121671e-06,,,2.4244366411337687e-12,1.8139386584873496e-09
20,22,7.371516929643718e-08,7.686611527623094e-15,4.952569393804212e-05,1.3472719513551971e-06,,,5.794052829536831e-13,4.783103285430659e-10
21,23,1.0016735450162256e-07,1.7545971913720978e-15,9.989007856836657e-05,2.654716943924514e-06,,,1.38190926925145e-13,1.252920449008099e-10
22,24,2.9356644948480735e-08,4.005160522172041e-16,3.6035713430011204e-05,7.017905465505757e-07,,,3.2898463391934645e-14,3.262239198949344e-11
23,25,1.3238775742576879e-08,9.142446418611378e-17,1.2714396498413469e-05,3.360677026708273e-07,,,7.818714164963372e-15,8.447085965238393e-12
24,26,7.401909254411643e-09,2.0869157691550233e-17,4.396460126143614e-06,1.614114065553353e-07,,,1.855307126550202e-15,4.2937189226508924e-11
25,27,3.736834250979744e-09,4.763733062391199e-18,9.333099910176625e-06,1.7057624564804778e-07,,,1.9551518732806668e-14,1.1480542804799347e-11
26,28,1.6090437467765818e-09,1.0874014670418308e-18,3.282289565944917e-06,6.132028851885234e-08,,,4.802221852916878e-15,3.0512557080045456e-12
27,29,6.623801551034844e-10,2.4821750821008185e-19,1.1337588647516495e-06,2.1367679350135528e-08,,,1.1764664927404843e-15,8.064428953825714e-13
28,30,2.1459151278036165e-10,5.665978320742134e-20,3.8519569104748606e-07,7.237379377915913e-09,,,2.875208032489407e-16,2.1204040727027372e-13
29,31,1.7800058305452393e-10,1.2933539846814041e-20,1.2888766037118052e-07,4.144677257647007e-09,,,7.011008604758039e-17,5.548393655515786e-14
30,32,1.979295403438204e-11,2.952296029032751e-21,5.3630342145549575e-09,2.806468322648017e-10,,,1.7059871871439734e-17,1.4452998215441183e-14
