,N,average,min,max,std,5_percentile,95_percentile
0,2,0.02666473666666667,0.007338777777777778,1.0,0.10465530228675358,0.007338777777777778,0.16399455555555556
1,3,0.0099206549737037,0.0006286886296296297,1.0,0.07243114908557279,0.0006286886296296297,0.020758956074074072
2,4,0.0013649196109644449,5.385765927160494e-05,0.03916473060744445,0.0054854634248969565,5.385765927160494e-05,0.002353181540703704
3,5,0.00026859055850693143,4.6138061442674905e-06,0.0055067042440878275,0.0010037191761301581,4.6138061442674905e-06,0.0002508330717809547
4,6,0.00016015627860809016,3.952493930255817e-07,0.010312322452633745,0.0010355649519110642,3.952493930255817e-07,0.0007010860355419102
5,7,9.729706309071543e-05,3.385969800252483e-08,0.016903227825654468,0.001196285988881449,3.385969800252483e-08,8.35640957437598e-05
6,8,2.1484890316253127e-06,2.900647462216294e-09,0.00020699987015452342,1.4818176999506412e-05,2.900647462216294e-09,9.502631097301639e-06
7,9,2.544860672130377e-06,2.4848879926319587e-10,0.0004327227562936732,3.060823467916682e-05,2.4848879926319587e-10,1.043166024350637e-06
8,10,7.918766422743255e-08,2.1287207136880444e-11,3.217248548099044e-06,4.497742287211437e-07,2.1287207136880444e-11,1.1141637131560528e-07
9,11,1.870258711241781e-08,1.8236040780594248e-12,3.7748266112671987e-07,7.798331425591448e-08,1.8236040780594248e-12,1.1641512636437284e-08
10,12,1.1756191227268926e-08,1.5622208268709074e-13,1.04648417466595e-06,1.0420901730907809e-07,1.5622208268709074e-13,1.1947153962147683e-09
11,13,9.98329472395234e-10,1.3383025083527439e-14,1.289485988468959e-07,9.150956545151916e-09,1.3383025083527439e-14,4.77448458386435e-09
12,14,1.764107787896188e-09,1.1464791488221841e-15,3.333143561009932e-07,2.352822461714146e-08,1.1464791488221841e-15,1.2057286684100778e-11
13,15,4.932509699924751e-11,9.821504708243377e-17,1.7952523242447532e-09,2.7994973255981984e-10,9.821504708243377e-17,5.552406634436566e-11
14,16,5.522450070356534e-12,8.413755700061826e-18,2.0456078710449887e-10,3.1903831657591684e-11,8.413755700061826e-18,5.845159424321255e-12
15,17,5.114077176772309e-13,7.207784049719631e-19,2.2868464862256466e-11,3.1983063424795197e-12,7.207784049719631e-19,6.072192895719573e-13
16,18,1.205568847669096e-12,6.174668335926484e-20,7.578938192068028e-11,9.212244482826058e-12,6.174668335926484e-20,6.234880269767921e-14
17,19,4.9932568912427124e-14,5.289632541110355e-21,8.791500924715741e-12,6.208432898766242e-13,5.289632541110355e-21,6.336116647003412e-15
18,20,8.075290687524956e-16,4.531451876884537e-22,2.91286121457909e-14,4.539677202000874e-15,4.531451876884537e-22,6.379927723065401e-16
19,21,1.283889640511931e-15,3.881943774531087e-23,1.1248836568335637e-13,1.119652502287143e-14,3.881943774531087e-23,3.0786891653017007e-15
20,22,4.683876722249175e-14,3.325531833514965e-24,9.327673149530872e-12,6.579026459430954e-13,3.325531833514965e-24,3.219943746016961e-16
21,23,2.3420772040592803e-16,2.8488722707111534e-25,4.387415773449174e-14,3.09651736973212e-15,2.8488722707111534e-25,2.2585424983240153e-18
