,N,average,min,max,std,5_percentile,95_percentile
0,2,0.005204509200000001,0.003528360000000001,0.11527164000000001,0.013582670327911056,0.003528360000000001,0.003528360000000001
1,3,0.0003589294777200001,0.0002095845840000001,0.010165910832000002,0.001210215926216875,0.0002095845840000001,0.0002095845840000001
2,4,2.4277439872224014e-05,1.2449324289600008e-05,0.0008009903631312004,9.584910135637654e-05,1.2449324289600008e-05,1.2449324289600008e-05
3,5,2.2032191661519613e-06,7.394898628022405e-07,5.9288661996791076e-05,9.140986569616089e-06,7.394898628022405e-07,7.394898628022405e-07
4,6,8.565954774756036e-08,4.392569785045309e-08,4.217310687561178e-06,4.152465634971512e-07,4.392569785045309e-08,4.392569785045309e-08
5,7,1.5623887542729815e-08,2.609186452316914e-09,2.918247662392702e-07,5.995558253528078e-08,2.609186452316914e-09,2.609186452316914e-09
6,8,1.1366659860873405e-09,1.5498567526762471e-10,1.978859189166194e-08,4.279045269726738e-09,1.5498567526762471e-10,1.1366659860870057e-09
7,9,1.010472505896354e-10,9.206149110896909e-12,1.3212218845214472e-09,3.3475690041687585e-10,9.206149110896909e-12,1.3212218845214472e-09
8,10,1.0089636878006326e-10,5.468452571872765e-13,6.2575498874301015e-09,7.600945044857121e-10,5.468452571872765e-13,8.71398837942836e-11
9,11,2.696690624947766e-12,3.2482608276924226e-14,4.536622380102512e-10,3.2000666703214075e-11,3.2482608276924226e-14,5.6904717462908e-12
10,12,1.9091762011958885e-13,1.9294669316492994e-15,3.2299994662370056e-11,2.278198914672741e-12,1.9294669316492994e-15,3.6856716307494843e-13
11,13,1.3092026569004144e-14,1.146103357399684e-16,2.2652939565330775e-12,1.597677644079348e-13,1.146103357399684e-16,2.370774608256127e-14
12,14,2.256468919908932e-16,6.8078539429541245e-18,1.5160425991011541e-15,5.314028182510887e-16,6.8078539429541245e-18,1.5160425991011541e-15
13,15,7.608287370296957e-18,4.04386524211475e-19,9.645639780535122e-17,2.529926832807984e-17,4.04386524211475e-19,9.645639780535122e-17
14,16,1.882362757391893e-17,2.402055953816162e-20,7.288820504826315e-16,1.137143088891833e-16,2.402055953816162e-20,6.109875994311176e-18
15,17,4.7518047371820226e-20,1.4268212365668005e-21,3.855203723636787e-19,1.2481563041318653e-19,1.4268212365668005e-21,3.855203723636787e-19
16,18,2.2589034307379347e-21,8.475318145206795e-23,2.4241978173517255e-20,6.913357175214043e-21,8.475318145206795e-23,2.4241978173517255e-20
17,19,1.792200097835389e-22,5.0343389782528375e-24,1.5196923459807402e-21,4.832091401002659e-22,5.0343389782528375e-24,1.5196923459807402e-21
18,20,2.263139159749452e-22,2.990397353082186e-25,1.4341878238459596e-20,1.7421716749872645e-21,2.990397353082186e-25,9.50050245942006e-23
19,21,5.5805083929340705e-24,1.7762960277308186e-26,9.412692934978053e-22,6.636179016934606e-23,1.7762960277308186e-26,5.924575235926427e-24
20,22,5.251526838592724e-26,1.0551198404721064e-27,3.686276094508659e-25,1.2754288701551851e-25,1.0551198404721064e-27,3.686276094508659e-25
21,23,6.244174725410071e-26,6.267411852404313e-29,3.9988837885899974e-24,4.858210728065774e-25,6.267411852404313e-29,2.2888925723329499e-26
22,24,1.4970956182844569e-27,3.722842640328163e-30,2.590630205776096e-25,1.8264957729591983e-26,3.722842640328163e-30,1.4185534638494874e-27
23,25,4.2966202250103685e-28,2.211368528354929e-31,1.672263481040684e-26,2.60912912393645e-27,2.211368528354929e-31,8.776378154015225e-29
24,26,1.1582960543046735e-29,1.313552905842828e-32,1.0758751206548338e-27,1.0698278499353858e-28,1.313552905842828e-32,5.421169947262108e-30
25,27,7.375367473450404e-31,7.802504260706398e-34,6.900613461929187e-29,6.862226966224467e-30,7.802504260706398e-34,3.3437277349972695e-31
26,28,7.025489646643644e-32,4.6346875308596016e-35,4.4134754271397816e-30,5.360302665288405e-31,4.6346875308596016e-35,2.0595646296645822e-32
27,29,1.5937149929636956e-33,2.753004393330604e-36,2.815327052787281e-31,1.9849336449523725e-32,2.753004393330604e-36,1.2669752609360276e-33
28,30,2.8286563992872306e-34,1.6352846096383789e-37,1.791475962399288e-32,2.1760416098113282e-33,1.6352846096383789e-37,7.784780643196682e-35
29,31,1.2026935371177407e-35,9.713590581251972e-39,1.137360368395085e-33,1.1311198390420491e-34,9.713590581251972e-39,4.777974572441415e-36
30,32,2.206016436470787e-36,5.769872805263672e-40,7.205336876550646e-35,1.2284014127071806e-35,5.769872805263672e-40,2.929482929037457e-37
31,33,4.854418201914571e-38,3.427304446326622e-41,4.555517268976348e-36,4.530165186694347e-37,3.427304446326622e-41,1.7943842834545598e-38
32,34,7.408090666284914e-39,2.0358188411180135e-42,2.874757043473687e-37,4.48488391825139e-38,2.0358188411180135e-42,1.098101489994157e-39
33,35,1.590633461671169e-38,1.2092763916241002e-43,3.160721285655598e-36,2.229336767413895e-37,1.2092763916241002e-43,6.714211970760852e-41
34,36,1.7867453767836642e-41,7.183101766247156e-45,1.1388243851204757e-39,1.3833931413262467e-40,7.183101766247156e-45,4.10198644802811e-42
35,37,2.906837219055496e-42,4.266762449150812e-46,7.150449692917151e-41,1.4002771926744805e-41,4.266762449150812e-46,2.5041442053420185e-43
36,38,4.471996497656516e-42,2.5344568947955823e-47,8.53423047018121e-40,6.018770739546918e-41,2.5344568947955823e-47,2.386574969202005e-43
37,39,1.609303571724616e-45,1.505467395508576e-48,2.8065322806921745e-43,1.9784642976891528e-44,1.505467395508576e-48,9.312304279409512e-46
38,40,5.386662212924298e-46,8.942476329320943e-50,1.7546717087832775e-44,2.9911785445589064e-45,8.942476329320943e-50,5.673113005190788e-47
39,41,3.351223794623616e-47,5.311830939616641e-51,1.0956362959440914e-45,1.8679321111083744e-46,5.311830939616641e-51,3.453942057436921e-48
40,42,1.412017352750426e-48,3.1552275781322853e-52,6.832957387830421e-47,9.560037468292426e-48,3.1552275781322853e-52,2.1016046639355657e-49
41,43,7.318091645828757e-46,1.8742051814105776e-53,1.4634848561159768e-43,1.0322492519855382e-44,1.8742051814105776e-53,1.2780312409776384e-50
42,44,6.804729644994206e-51,1.1132778777578833e-54,2.648545070624621e-49,4.1322332931461384e-50,1.1132778777578833e-54,7.767793310770652e-52
