,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.02771519922666667,0.003528360000000001,1.0,0.08941527659485922,,,0.003528360000000001,0.003528360000000001
1,3,0.005584369619565334,0.0002095845840000001,1.0,0.028812621030353855,,,0.0002095845840000001,0.0002095845840000001
2,4,0.0015729714576021602,1.2449324289600008e-05,0.21725572901171042,0.01293677165981696,,,1.2449324289600008e-05,0.0008009903631312004
3,5,0.00029041004247252935,7.394898628022405e-07,0.0312756902248928,0.002438618403725877,,,7.394898628022405e-07,5.9288661996791076e-05
4,6,4.892443657497691e-05,4.392569785045309e-08,0.04508470810481401,0.0008677419374565886,,,4.392569785045309e-08,4.217310687561178e-06
5,7,1.6887724909049084e-05,2.609186452316914e-09,0.006118421451252338,0.00025329148068464573,,,2.609186452316914e-09,2.918247662392702e-07
6,8,2.2325879914330902e-06,1.5498567526762471e-10,0.0007176941210686892,3.2387371125109966e-05,,,1.5498567526762471e-10,1.978859189166194e-08
7,9,4.781858698899292e-06,9.206149110896909e-12,0.01342279715077912,0.0002450510750332903,,,9.206149110896909e-12,1.3212218845214472e-09
8,10,1.4684168885954663e-07,5.468452571872765e-13,0.00014468827126068803,3.773114951338611e-06,,,5.468452571872765e-13,8.71398837942836e-11
9,11,6.452121305391545e-09,3.2482608276924226e-14,6.957020802913535e-07,6.075854845250748e-08,,,3.2482608276924226e-14,5.6904717462908e-12
10,12,3.395962605234757e-09,1.9294669316492994e-15,1.5832094386090907e-06,6.486069364369207e-08,,,1.9294669316492994e-15,3.2299994662370056e-11
11,13,5.526073180125428e-10,1.146103357399684e-16,1.5214185935138172e-07,8.342814249062341e-09,,,1.146103357399684e-16,2.2652939565330775e-12
12,14,2.9257364831447573e-08,6.8078539429541245e-18,8.69883167659091e-05,1.5879364685589765e-06,,,6.8078539429541245e-18,1.5685796698332198e-13
13,15,5.4798709971964296e-12,4.04386524211475e-19,1.244498320214023e-09,7.535927180000588e-11,,,4.04386524211475e-19,1.0743352907523872e-14
14,16,1.8592618632258116e-12,2.402055953816162e-20,3.1398874172966535e-09,5.7963827714181044e-11,,,2.402055953816162e-20,7.288820504826315e-16
15,17,2.8611080663606807e-12,1.4268212365668005e-21,7.214865668075904e-09,1.3211348561293128e-10,,,3.855203723636787e-19,4.904254315891741e-17
16,18,2.5703165858132087e-13,8.475318145206795e-23,6.988939455148664e-10,1.2774634354094623e-11,,,2.4241978173517255e-20,3.2757475258849712e-18
17,19,2.7694937794058562e-14,5.0343389782528375e-24,6.554149408193367e-11,1.2010797310201924e-12,,,1.5196923459807402e-21,2.173814077075776e-19
18,20,5.214642697743291e-14,2.990397353082186e-25,1.5489169116783468e-10,2.8274561732056764e-12,,,9.50050245942006e-23,1.4341878238459596e-20
19,21,5.901610131319536e-16,1.7762960277308186e-26,5.312070945098979e-13,1.6811973817395634e-14,,,5.924575235926427e-24,9.412692934978053e-22
20,22,5.054809226045796e-17,1.0551198404721064e-27,4.619223083295967e-14,1.4615112410131405e-15,,,3.686276094508659e-25,6.148405150068204e-23
21,23,6.2282845092876385e-18,6.267411852404313e-29,3.937735909424815e-15,1.4397604605581964e-16,,,2.2888925723329499e-26,4.447185029146289e-22
22,24,4.427370815187891e-18,3.722842640328163e-30,1.115374727999148e-14,2.0412472657644089e-16,,,1.4185534638494874e-27,3.017762916467671e-23
23,25,7.092294419415249e-19,2.211368528354929e-31,9.726768372589709e-16,2.513385001232323e-17,,,8.776378154015225e-29,2.0362258495370968e-24
24,26,9.176089151892949e-19,1.313552905842828e-32,2.652553460309835e-15,4.844409808615528e-17,,,5.421169947262108e-30,1.3668112576517223e-25
25,27,5.15137173414749e-21,7.802504260706398e-34,7.024464566167497e-18,1.8149903950936438e-19,,,3.3437277349972695e-31,9.13082700893917e-27
26,28,7.350600808064411e-21,4.6346875308596016e-35,2.0622180435967626e-17,3.767388839523088e-19,,,2.0595646296645822e-32,6.072782945538927e-28
27,29,3.771262774800802e-23,2.753004393330604e-36,4.7805761230949695e-20,1.2361874500493479e-21,,,1.2669752609360276e-33,4.02236456832689e-29
28,30,1.6794524197760055e-21,1.6352846096383789e-37,5.0205743083522815e-18,9.164744904133122e-20,,,7.784780643196682e-35,2.6540942161713448e-30
29,31,4.5603922287924674e-24,9.713590581251972e-39,1.2567954623196425e-20,2.296224765484801e-22,,,4.777974572441415e-36,1.7450381934290561e-31
30,32,7.535500780335926e-25,5.769872805263672e-40,1.0375731147481576e-21,2.680556875293821e-23,,,2.929482929037457e-37,1.3159832585228778e-30
31,33,6.25872054654902e-26,3.427304446326622e-41,8.466228121518049e-23,2.1876023744724343e-24,,,4.555517268976348e-36,8.892547510267e-32
32,34,4.9389411121719774e-27,2.0358188411180135e-42,6.833288886374573e-24,1.7651248897342883e-25,,,2.874757043473687e-37,5.984831410935796e-33
33,35,7.930714670159663e-27,1.2092763916241002e-43,2.255163217710022e-23,4.1190012093132134e-25,,,1.8108931099722205e-38,4.01267277608249e-34
34,36,1.3558129623077496e-27,7.183101766247156e-45,1.8530889981410606e-24,4.787939829137643e-26,,,1.1388243851204757e-39,2.6808250731217654e-35
35,37,5.526441635512945e-29,4.266762449150812e-46,1.5071343145312664e-25,2.7538708216741594e-27,,,7.150449692917151e-41,1.7850262601600256e-36
36,38,8.743419899127794e-30,2.5344568947955823e-47,1.2140060324728853e-26,3.1359193180396926e-28,,,4.4829069215472586e-42,1.1847951038758757e-37
37,39,1.4874038454407314e-29,1.505467395508576e-48,4.057531608027609e-26,7.414967387599481e-28,,,2.8065322806921745e-43,7.840412635047948e-39
38,40,1.1867243163843976e-30,8.942476329320943e-50,3.321678188024608e-27,6.068217913252191e-29,,,1.7546717087832775e-44,5.173688106612809e-40
39,41,9.007333584744298e-32,5.311830939616641e-51,2.694490972663483e-28,4.91862314115023e-30,,,1.0956362959440914e-45,3.404791825176078e-41
40,42,7.56227249902446e-33,3.1552275781322853e-52,2.166913967859272e-29,3.957359954097409e-31,,,6.832957387830421e-47,2.2349533497568455e-42
41,43,6.278178258961228e-34,1.8742051814105776e-53,1.7284481240787615e-30,3.157860840561634e-32,,,4.25645362306105e-48,1.810835031726073e-41
42,44,9.531754923692507e-35,1.1132778777578833e-54,1.3680705006190012e-31,3.532526929847837e-33,,,2.648545070624621e-49,1.2132913944115562e-42
