,N,average,min,max,std,5_percentile,95_percentile
0,2,0.3860551111111111,0.38605511111111107,0.38605511111111107,5.551115123125783e-17,0.38605511111111107,0.38605511111111107
1,3,0.23986890903703703,0.239868909037037,0.239868909037037,2.7755575615628914e-17,0.239868909037037,0.239868909037037
2,4,0.14903854881501233,0.1490385488150123,0.1490385488150123,2.7755575615628914e-17,0.1490385488150123,0.1490385488150123
3,5,0.0926026183303943,0.0926026183303943,0.0926026183303943,0.0,0.0926026183303943,0.0926026183303943
4,6,0.05858905926685162,0.05753709352261833,0.2679302423692742,0.0148398030135516,0.05753709352261833,0.05753709352261833
5,7,0.036512272388206625,0.03574971410872019,0.18826137000600715,0.010757208317823404,0.03574971410872019,0.03574971410872019
6,8,0.022753978035918224,0.022212489032884808,0.13051028963956784,0.00763864240168489,0.022212489032884808,0.022212489032884808
7,9,0.014179860665552782,0.013801359852432426,0.08950152247650385,0.005339411038777735,0.013801359852432426,0.013801359852432426
8,10,0.00883655066818407,0.00857524492164468,0.06083639422952213,0.0036861711764006287,0.00857524492164468,0.00857524492164468
9,11,0.005506679278883348,0.005328085511315228,0.0410468390249392,0.0025193751266972824,0.005328085511315228,0.005328085511315228
10,12,0.003552625336664692,0.003310517131030528,0.027521337694446923,0.002408946230264193,0.003310517131030528,0.003310517131030528
11,13,0.00221990036738383,0.002056934644080301,0.018353506974433248,0.0016214884736600534,0.002056934644080301,0.002056934644080301
12,14,0.001278042058855227,0.001278042058855227,0.001278042058855227,0.0,0.001278042058855227,0.001278042058855227
13,15,0.0008303865270402027,0.0007940901325687144,0.008053369026866403,0.0005120236538230917,0.0007940901325687144,0.0007940901325687144
14,16,0.0005415059432012575,0.0004933946690360278,0.005304522085559012,0.00047870113377595987,0.0004933946690360278,0.0004933946690360278
15,17,0.0003859662030979167,0.00030656255436105193,0.0034827085038356418,0.0004958756274272498,0.00030656255436105193,0.00030656255436105193
16,18,0.00020092518562895824,0.00019047753377633358,0.0022800079043012633,0.00014738226629244309,0.00019047753377633358,0.00019047753377633358
17,19,0.00012520215280140926,0.00011835004098636192,0.0014887724039958233,9.666093227802153e-05,0.00011835004098636192,0.00011835004098636192
18,20,7.80163470182098e-05,7.353482546619287e-05,0.0009698391358695738,6.321964132148499e-05,7.353482546619287e-05,7.353482546619287e-05
19,21,6.030836152567365e-05,4.56896382229945e-05,0.0006304385703301603,9.129389776437127e-05,4.56896382229945e-05,4.56896382229945e-05
20,22,3.219474667745084e-05,2.838849521588725e-05,0.0004090136413722467,3.787172386724486e-05,2.838849521588725e-05,2.838849521588725e-05
21,23,2.011116703747361e-05,1.7638718360804607e-05,0.00026488358602770525,2.460055372176548e-05,1.7638718360804607e-05,1.7638718360804607e-05
22,24,1.1761027037161557e-05,1.0959523674846596e-05,0.00017126019613783886,1.130659631899165e-05,1.0959523674846596e-05,1.0959523674846596e-05
23,25,8.365769738466233e-06,6.809517376638018e-06,0.00011055967483185245,1.2611086637004396e-05,6.809517376638018e-06,6.809517376638018e-06
24,26,4.901399814139023e-06,4.230980130017755e-06,7.127294854214459e-05,6.670591632896505e-06,4.230980130017755e-06,4.230980130017755e-06
25,27,3.2777121001905547e-06,2.6288489874510316e-06,4.5886389836752554e-05,5.258060409111027e-06,2.6288489874510316e-06,2.6288489874510316e-06
26,28,2.051483647167119e-06,1.6333915042029076e-06,2.9506201035150375e-05,3.3880085045965763e-06,1.6333915042029076e-06,1.6333915042029076e-06
27,29,1.1942487536596088e-06,1.01488058794474e-06,1.8951697159431603e-05,1.784690715031526e-06,1.01488058794474e-06,1.01488058794474e-06
28,30,8.035147908287818e-07,6.305791386429982e-07,1.2159622617695243e-05,1.4013835710936654e-06,6.305791386429982e-07,6.305791386429982e-07
29,31,4.6582142129835554e-07,3.9179983814351623e-07,7.793958153627459e-06,7.365054531380823e-07,3.9179983814351623e-07,3.9179983814351623e-07
30,32,2.6717614562682665e-07,2.434382994331714e-07,4.991007538164205e-06,3.348635289798102e-07,2.434382994331714e-07,2.434382994331714e-07
31,33,2.8814655458507143e-07,1.512563300478105e-07,3.1932613197647204e-06,6.306201808632151e-07,1.512563300478105e-07,1.512563300478105e-07
32,34,1.0371747388931728e-07,9.398059973637291e-08,2.0413554303252504e-06,1.3735551294281936e-07,9.398059973637291e-08,9.398059973637291e-08
33,35,7.084884145459367e-08,5.839327930286637e-08,1.3039494944755953e-06,1.239312786306935e-07,5.839327930286637e-08,5.839327930286637e-08
34,36,5.220203454264779e-08,3.62816908735143e-08,8.322988743301887e-07,1.1144240568393442e-07,3.62816908735143e-08,3.62816908735143e-08
35,37,2.5084677314069466e-08,2.2543023929410216e-08,5.308737008612612e-07,3.585443324921231e-08,2.2543023929410216e-08,2.2543023929410216e-08
36,38,1.887241848639745e-08,1.4006732201473548e-08,3.38385817863067e-07,3.9429075124791785e-08,1.4006732201473548e-08,1.4006732201473548e-08
37,39,1.2839878030876123e-08,8.702849607848897e-09,2.1555427075921024e-07,2.8959198961190584e-08,8.702849607848897e-09,8.702849607848897e-09
38,40,7.3846579872467185e-09,5.407370556343448e-09,1.372265326165614e-07,1.602294313506299e-08,5.407370556343448e-09,5.407370556343448e-09
39,41,5.0388041792230785e-09,3.3597795723413952e-09,8.731100991642554e-08,1.1753172248171781e-08,3.3597795723413952e-09,3.3597795723413952e-09
40,42,2.6218823841332953e-09,2.08754304094812e-09,5.552147735946567e-08,5.316609336210524e-09,2.08754304094812e-09,2.08754304094812e-09
41,43,3.982038941422722e-09,1.2970600761090985e-09,4.703112981626779e-07,3.322975156206751e-08,1.2970600761090985e-09,1.2970600761090985e-09
42,44,9.139604120295151e-10,8.059066606224532e-10,2.2416656942034843e-08,1.5242857427118748e-09,8.059066606224532e-10,8.059066606224532e-10
