,N,average,min,max,std,5_percentile,95_percentile
0,2,0.026137471111111116,0.007338777777777778,0.16399455555555556,0.05090710219899133,0.007338777777777778,0.16399455555555556
1,3,0.006903927447962963,0.0006286886296296297,0.23561235529629632,0.02432722772767257,0.0006286886296296297,0.020758956074074072
2,4,0.004170025643707409,5.385765927160494e-05,0.30109489685924695,0.022833624255722145,5.385765927160494e-05,0.03916473060744445
3,5,0.0009359061843371959,4.6138061442674905e-06,0.061603414849682195,0.006201271962236805,4.6138061442674905e-06,0.0055067042440878275
4,6,7.605310359488867e-05,3.952493930255817e-07,0.010312322452633745,0.0007337546350083602,3.952493930255817e-07,2.5706589900477032e-05
5,7,3.0746420915736124e-05,3.385969800252483e-08,0.001524448621939444,0.00018576679595994997,3.385969800252483e-08,8.35640957437598e-05
6,8,4.6521384070467604e-06,2.900647462216294e-09,0.00020699987015452342,2.5201319693366474e-05,2.900647462216294e-09,9.502631097301639e-06
7,9,9.044598005163381e-07,2.4848879926319587e-10,2.6421561243203638e-05,4.498212579010231e-06,2.4848879926319587e-10,1.043166024350637e-06
8,10,5.025500342531067e-08,2.1287207136880444e-11,3.217248548099044e-06,3.2079162550671625e-07,2.1287207136880444e-11,1.1141637131560528e-07
9,11,1.1161534347310855e-08,1.8236040780594248e-12,3.7748266112671987e-07,5.879407192795177e-08,1.8236040780594248e-12,1.1641512636437284e-08
10,12,1.2204778357401063e-09,1.5622208268709074e-13,4.298190435710482e-08,6.697824412329841e-09,1.5622208268709074e-13,1.1947153962147683e-09
11,13,8.026311885508017e-10,1.3383025083527439e-14,1.289485988468959e-07,9.120309157749423e-09,1.3383025083527439e-14,1.2078463991989398e-10
12,14,1.0538034163028311e-10,1.1464791488221841e-15,1.541206703906405e-08,1.090904746312984e-09,1.1464791488221841e-15,5.19451601784469e-10
13,15,2.182345238362181e-11,9.821504708243377e-17,1.7952523242447532e-09,1.787560930051242e-10,9.821504708243377e-17,5.552406634436566e-11
14,16,3.3013335754129356e-11,8.413755700061826e-18,5.2947737059533134e-09,3.7462092770943044e-10,8.413755700061826e-18,5.845159424321255e-12
15,17,4.051356086599118e-12,7.207784049719631e-19,6.406223604858807e-10,4.5320007400635155e-11,7.207784049719631e-19,6.072192895719573e-13
16,18,5.591565145104336e-14,6.174668335926484e-20,2.5142659936319307e-12,3.516175360103745e-13,6.174668335926484e-20,6.234880269767921e-14
17,19,1.1574220843218191e-12,5.289632541110355e-21,2.2095145741193675e-10,1.5593164798454548e-11,5.289632541110355e-21,6.336116647003412e-15
18,20,1.3635238439195327e-13,4.531451876884537e-22,2.6966537197121007e-11,1.90195192678095e-12,4.531451876884537e-22,2.91286121457909e-14
19,21,6.290735132151535e-16,3.881943774531087e-23,1.1248836568335637e-13,7.941177483140357e-15,3.881943774531087e-23,6.371126807238468e-17
20,22,4.6783011639445384e-14,3.325531833514965e-24,9.327673149530872e-12,6.579060254752056e-13,3.325531833514965e-24,3.219943746016961e-16
21,23,2.1469300170321904e-17,2.8488722707111534e-25,1.3610845310428846e-15,1.6541085130272286e-16,2.8488722707111534e-25,6.217173648311664e-19
22,24,8.97503738719982e-19,2.4405339119092215e-26,1.4710010734440053e-16,1.0388233181468218e-17,2.4405339119092215e-26,2.2909757614382365e-19
23,25,3.1502253244513006e-18,2.090724051202233e-27,5.630921031984143e-16,3.975421590967604e-17,2.090724051202233e-27,3.491270543997083e-19
24,26,9.643610709507197e-18,1.7910536038632464e-28,1.9215040610883664e-15,1.355283945729603e-16,1.7910536038632464e-28,3.5320123951986703e-20
25,27,3.911585046346987e-20,1.5343359206428477e-29,6.8891354509366136e-18,4.863522267397853e-19,1.5343359206428477e-29,3.549549569385558e-21
26,28,2.6480038225187075e-19,1.3144144386840397e-30,2.5305705476516956e-17,2.5183566392819795e-18,1.3144144386840397e-30,1.2491389713935729e-21
27,29,1.435662347960403e-20,1.126015035805994e-31,2.8538603297761213e-18,2.0128746020579235e-19,1.126015035805994e-31,1.2781483045350197e-22
28,30,9.274715540213837e-23,9.646195473404681e-33,8.660960292988217e-21,8.617708400879515e-22,9.646195473404681e-33,3.478591403143896e-24
29,31,1.4700151280189007e-23,8.263574122216677e-34,9.192195193135652e-22,1.1169602778889887e-22,8.263574122216677e-34,1.978898713907078e-23
30,32,1.5156077874694328e-24,7.079128498032288e-35,9.68402027286858e-23,1.1768362248548322e-23,7.079128498032288e-35,3.346562575024283e-26
31,33,1.0578790156619782e-25,6.064453413314326e-36,1.0131901451839027e-23,1.0080602920999709e-24,6.064453413314326e-36,3.260908916860404e-27
32,34,2.2220348919872627e-26,5.195215090739273e-37,1.0532211662965891e-24,1.4735845909966715e-25,5.195215090739273e-37,2.033865581445483e-26
33,35,9.105764232021847e-25,4.4505675943999774e-38,1.812257919659372e-22,1.278222448649331e-23,4.4505675943999774e-38,2.031703732116309e-27
34,36,5.3176057727534995e-27,3.812652905869314e-39,5.133397901273638e-25,5.1076204381004886e-26,3.812652905869314e-39,2.0202557677592046e-28
35,37,5.264659012726613e-29,3.266172656028046e-40,1.1424801486208803e-27,2.3662014132600296e-28,3.266172656028046e-40,2.0002111257541144e-29
36,38,2.981046348374395e-29,2.798021241997359e-41,5.6876075272454895e-27,4.012369320757175e-28,2.798021241997359e-41,1.9723077823925077e-30
37,39,1.2767826524884025e-28,2.3969715306444045e-42,2.5427474493227056e-26,1.7934566557079167e-27,2.3969715306444045e-42,7.717687319038905e-31
38,40,9.619100703782783e-31,2.05340561125204e-43,6.15862494652116e-29,7.483971694967116e-30,2.05340561125204e-43,1.8960127303702058e-32
39,41,1.6263241665345171e-31,1.7590841403059143e-44,6.358552651690866e-30,9.923476700987469e-31,7.715329350010999e-42,1.1877394949631646e-31
40,42,3.1629146524421826e-31,1.5069487468620666e-45,3.0605812706860373e-29,3.045246239920192e-30,1.5069487468620666e-45,1.1865741065383186e-32
41,43,6.875083319767048e-31,1.290952759811837e-46,1.3406617722226248e-28,9.457690861832607e-30,5.937679452385914e-44,1.1808595672026865e-33
42,44,1.4097884650757156e-34,1.1059161975721404e-47,6.803651254649957e-33,9.520856719031062e-34,5.204648178216062e-45,1.1708816687482446e-34
