,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.014643931853333337,0.003528360000000001,1.0,0.05635261188838118,,,0.003528360000000001,0.003528360000000001
1,3,0.002418894495864,0.0002095845840000001,0.16782450458400003,0.013902821434484354,,,0.0002095845840000001,0.0002095845840000001
2,4,0.0002985755555147905,1.2449324289600008e-05,0.019530831300868804,0.0018199123697412555,,,1.2449324289600008e-05,1.2449324289600008e-05
3,5,5.0388936047996546e-05,7.394898628022405e-07,0.0312756902248928,0.0006166497977337696,,,7.394898628022405e-07,7.394898628022405e-07
4,6,5.408121221892408e-06,4.392569785045309e-08,0.00016943136461525086,2.7200806457548806e-05,,,4.392569785045309e-08,4.392569785045309e-08
5,7,9.874296812587314e-07,2.609186452316914e-09,0.00037663181678109745,1.3931426398088527e-05,,,2.609186452316914e-09,2.609186452316914e-09
6,8,5.806309691149373e-07,1.5498567526762471e-10,0.0007176941210686892,1.3473556457029378e-05,,,1.5498567526762471e-10,1.978859189166194e-08
7,9,5.341874332278235e-07,9.206149110896909e-12,0.0012309792465293433,2.264053494110472e-05,,,9.206149110896909e-12,1.3212218845214472e-09
8,10,9.881372654652384e-09,5.468452571872765e-13,7.487157225055181e-06,2.3771346936370257e-07,,,5.468452571872765e-13,8.71398837942836e-11
9,11,6.064890387236448e-10,3.2482608276924226e-14,6.957020802913535e-07,1.801877753843048e-08,,,3.2482608276924226e-14,5.6904717462908e-12
10,12,1.655895320090938e-10,1.9294669316492994e-15,6.176825292154132e-08,2.9845473468406237e-09,,,1.9294669316492994e-15,3.6856716307494843e-13
11,13,1.2843221432971908e-11,1.146103357399684e-16,5.2847489028910476e-09,2.3657414153235335e-10,,,1.146103357399684e-16,2.370774608256127e-14
12,14,1.0770765192204425e-11,6.8078539429541245e-18,1.4008061263531397e-08,3.6223792441149506e-10,,,6.8078539429541245e-18,1.5160425991011541e-15
13,15,1.1368013888518008e-13,4.04386524211475e-19,3.544722702927027e-11,1.8306128054080903e-12,,,4.04386524211475e-19,9.645639780535122e-17
14,16,9.061631877777732e-14,2.402055953816162e-20,1.0726486196444457e-10,2.77706894486125e-12,,,2.402055953816162e-20,6.109875994311176e-18
15,17,7.127090978033006e-15,1.4268212365668005e-21,9.00789117168101e-12,2.329483127215361e-13,,,1.4268212365668005e-21,3.855203723636787e-19
16,18,8.649938994314184e-15,8.475318145206795e-23,2.5544539356103124e-11,4.662993882805346e-13,,,8.475318145206795e-23,2.4241978173517255e-20
17,19,3.1475234345689e-17,5.0343389782528375e-24,5.952922413210459e-14,1.0925808350376351e-15,,,5.0343389782528375e-24,1.5196923459807402e-21
18,20,8.94806961864534e-18,2.990397353082186e-25,4.708458165368971e-15,1.9226594241138033e-16,,,2.990397353082186e-25,9.50050245942006e-23
19,21,9.319808469560665e-19,1.7762960277308186e-26,3.6665350080350967e-16,1.7700371496990732e-17,,,1.7762960277308186e-26,5.924575235926427e-24
20,22,9.183400816235824e-19,1.0551198404721064e-27,1.2693146905666692e-15,3.2788959648112096e-17,,,1.0551198404721064e-27,3.686276094508659e-25
21,23,3.5144343974480404e-20,6.267411852404313e-29,1.0188040731623089e-16,1.860153919384112e-18,,,6.267411852404313e-29,3.9988837885899974e-24
22,24,3.361329581530203e-21,3.722842640328163e-30,8.059894505833878e-18,1.4746262854607287e-19,,,3.722842640328163e-30,2.590630205776096e-25
23,25,4.232402110925589e-23,2.211368528354929e-31,1.1875434372045313e-20,6.84660271335825e-22,,,2.211368528354929e-31,1.672263481040684e-26
24,26,7.713532864966138e-22,1.313552905842828e-32,2.205655341629921e-18,4.028173318807884e-20,,,1.313552905842828e-32,1.0758751206548338e-27
25,27,6.166002249523064e-23,7.802504260706398e-34,1.7668303656146795e-19,3.2266078090673687e-21,,,7.802504260706398e-34,6.900613461929187e-29
26,28,4.876093337924584e-25,4.6346875308596016e-35,2.7987446442417524e-22,1.1419428197313576e-23,,,4.6346875308596016e-35,4.4134754271397816e-30
27,29,3.8046941936864106e-25,2.753004393330604e-36,1.0936469178682826e-21,1.9970884647644616e-23,,,2.753004393330604e-36,2.815327052787281e-31
