,N,average,min,max,std,5_percentile,95_percentile
0,2,0.0334506138888889,0.007338777777777778,1.0,0.08693729315680195,0.007338777777777778,0.16399455555555556
1,3,0.012006206130185184,0.0006286886296296297,0.23561235529629632,0.04017705504408742,0.0006286886296296297,0.020758956074074072
2,4,0.005766490609038334,5.385765927160494e-05,1.0,0.07053839461545564,5.385765927160494e-05,0.002353181540703704
3,5,0.00023123133569174608,4.6138061442674905e-06,0.0055067042440878275,0.0009338042903166401,4.6138061442674905e-06,0.0002508330717809547
4,6,6.716769826030442e-05,3.952493930255817e-07,0.0007010860355419102,0.00019353623281665548,3.952493930255817e-07,0.0007010860355419102
5,7,2.151698558024281e-05,3.385969800252483e-08,0.001524448621939444,0.00015242195165004284,3.385969800252483e-08,8.35640957437598e-05
6,8,2.908388861838334e-06,2.900647462216294e-09,0.00020699987015452342,2.0670604528431685e-05,2.900647462216294e-09,9.502631097301639e-06
7,9,3.7770440538591106e-07,2.4848879926319587e-10,2.6421561243203638e-05,2.635785663210705e-06,2.4848879926319587e-10,1.043166024350637e-06
8,10,3.6966222738150636e-07,2.1287207136880444e-11,6.122803028586052e-05,4.331810724797937e-06,2.1287207136880444e-11,1.1141637131560528e-07
9,11,6.765358563597557e-07,1.8236040780594248e-12,0.00012487746000853245,8.823429207342122e-06,1.8236040780594248e-12,1.1641512636437284e-08
10,12,6.8946610010509844e-09,1.5622208268709074e-13,1.04648417466595e-06,7.411442788882403e-08,1.5622208268709074e-13,1.1947153962147683e-09
11,13,7.841842545681275e-10,1.3383025083527439e-14,1.289485988468959e-07,9.115700136674186e-09,1.3383025083527439e-14,1.2078463991989398e-10
12,14,1.2067444359933492e-10,1.1464791488221841e-15,1.541206703906405e-08,1.0930265903526633e-09,1.1464791488221841e-15,5.19451601784469e-10
13,15,4.437838880734922e-12,9.821504708243377e-17,5.552406634436566e-11,1.455485349188516e-11,9.821504708243377e-17,5.552406634436566e-11
14,16,3.648724795338852e-12,8.413755700061826e-18,2.0456078710449887e-10,2.4851803760977807e-11,8.413755700061826e-18,5.845159424321255e-12
15,17,1.656855497601991e-13,7.207784049719631e-19,2.2868464862256466e-11,1.6176864927216371e-12,7.207784049719631e-19,6.072192895719573e-13
16,18,8.14040084029694e-13,6.174668335926484e-20,7.578938192068028e-11,7.543502081961609e-12,6.174668335926484e-20,6.234880269767921e-14
17,19,7.657366964923162e-15,5.289632541110355e-21,2.723963753877134e-13,4.2445033071162804e-14,5.289632541110355e-21,6.336116647003412e-15
