,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.007860963703703705,0.007338777777777778,0.16399455555555556,0.009029438754944845,,,0.007338777777777778,0.007338777777777778
1,3,0.0007427601451481479,0.0006286886296296297,0.020758956074074072,0.0015110518867756263,,,0.0006286886296296297,0.0006286886296296297
2,4,6.305495479733333e-05,5.385765927160494e-05,0.002353181540703704,0.0001451308754259696,,,5.385765927160494e-05,5.385765927160494e-05
3,5,6.747706446452113e-06,4.6138061442674905e-06,0.0002508330717809547,2.282222239060296e-05,,,4.6138061442674905e-06,4.6138061442674905e-06
4,6,5.555545495727743e-07,3.952493930255817e-07,2.5706589900477032e-05,2.007944386493481e-06,,,3.952493930255817e-07,3.952493930255817e-07
5,7,5.409752092381601e-08,3.385969800252483e-08,2.5635875631639227e-06,2.2535885848485922e-07,,,3.385969800252483e-08,3.385969800252483e-08
6,8,5.129699101118507e-09,2.900647462216294e-09,2.5057305178468455e-07,2.339029515754252e-08,,,2.900647462216294e-09,2.900647462216294e-09
7,9,5.110525068955526e-10,2.4848879926319587e-10,2.4117916765841078e-08,2.4896396938919706e-09,,,2.4848879926319587e-10,2.4848879926319587e-10
8,10,4.476470498993303e-11,2.1287207136880444e-11,2.2933031284000346e-09,2.2976086700767154e-10,,,2.1287207136880444e-11,2.1287207136880444e-11
9,11,3.821867325431716e-12,1.8236040780594248e-12,2.1592323772509062e-10,2.0587238114592634e-11,,,1.8236040780594248e-12,1.8236040780594248e-12
10,12,4.430117858911321e-13,1.5622208268709074e-13,2.01648060271551e-11,2.3782362197862653e-12,,,1.5622208268709074e-13,1.5622208268709074e-13
11,13,3.690385656891418e-14,1.3383025083527439e-14,1.87029077392985e-12,2.076602627629062e-13,,,1.3383025083527439e-14,1.3383025083527439e-14
12,14,3.773257676138913e-15,1.1464791488221841e-15,1.7245812223469576e-13,2.104988788819902e-14,,,1.1464791488221841e-15,1.1464791488221841e-15
13,15,3.5503975200867267e-16,9.821504708243377e-17,1.582217657317869e-14,1.9930737191962454e-15,,,9.821504708243377e-17,9.821504708243377e-17
14,16,2.948712541112511e-17,8.413755700061826e-18,1.445234417818013e-15,1.7272685405091814e-16,,,8.413755700061826e-18,8.413755700061826e-18
15,17,7.538163175319905e-18,7.207784049719631e-19,1.1298232108291863e-14,2.0711637781191165e-16,,,7.207784049719631e-19,7.207784049719631e-19
16,18,6.5377513705749545e-19,6.174668335926484e-20,1.0881179904143941e-15,1.99246638675066e-17,,,6.174668335926484e-20,6.174668335926484e-20
17,19,6.00173841217531e-20,5.289632541110355e-21,1.0411824230395303e-16,1.90568955004192e-18,,,5.289632541110355e-21,5.289632541110355e-21
18,20,5.689285730846424e-21,4.531451876884537e-22,9.905089950555319e-18,1.8127417299122298e-19,,,4.531451876884537e-22,4.531451876884537e-22
19,21,8.66742240203681e-22,3.881943774531087e-23,9.373935969170906e-19,2.4224718184172546e-20,,,3.881943774531087e-23,3.881943774531087e-23
20,22,5.1496654788710085e-23,3.325531833514965e-24,8.829434743313417e-20,1.6157810590514267e-21,,,3.325531833514965e-24,3.325531833514965e-24
21,23,2.173127527672745e-24,2.8488722707111534e-25,7.021971317527965e-23,1.1335268207596673e-23,,,2.8488722707111534e-25,2.8488722707111534e-25
22,24,4.44804862406019e-25,2.4405339119092215e-26,7.736008809537118e-22,1.4153194665468612e-23,,,2.4405339119092215e-26,2.4405339119092215e-26
23,25,6.422867842215734e-26,2.090724051202233e-27,7.20101379659884e-23,1.8603213527274648e-24,,,2.090724051202233e-27,2.090724051202233e-27
24,26,8.135468141901096e-27,1.7910536038632464e-28,6.680855013870674e-24,2.1126175987258167e-25,,,1.7910536038632464e-28,1.7910536038632464e-28
25,27,1.2146113597100121e-28,1.5343359206428477e-29,4.436917391063625e-27,6.76717535989129e-28,,,1.5343359206428477e-29,1.5343359206428477e-29
26,28,1.3753412132750773e-29,1.3144144386840397e-30,3.9412486793552827e-28,6.878546112093425e-29,,,1.3144144386840397e-30,1.3144144386840397e-30
27,29,1.0303859816879267e-30,1.126015035805994e-31,3.496517662158037e-29,5.58075479815366e-30,,,1.126015035805994e-31,1.126015035805994e-31
28,30,1.0024686660773607e-31,9.646195473404681e-33,3.0983054386892462e-30,5.2117762685155625e-31,,,9.646195473404681e-33,9.646195473404681e-33
29,31,2.3984357972782583e-32,8.263574122216677e-34,4.404723490870434e-29,8.052803884697586e-31,,,8.263574122216677e-34,8.263574122216677e-34
30,32,7.800160230841989e-34,7.079128498032288e-35,2.424890735670336e-32,4.0797939052940365e-33,,,7.079128498032288e-35,7.079128498032288e-35
31,33,2.0383565020636657e-34,6.064453413314326e-36,3.669051980111742e-31,6.707738114798367e-33,,,6.064453413314326e-36,6.064453413314326e-36
32,34,1.7619422657825133e-35,5.195215090739273e-37,3.3390092917066176e-32,6.102903535835295e-34,,,5.195215090739273e-37,5.195215090739273e-37
33,35,1.2069177764886848e-34,4.4505675943999774e-38,3.571962027295457e-31,6.520599591166467e-33,,,4.4505675943999774e-38,4.4505675943999774e-38
34,36,2.409196561076714e-37,3.812652905869314e-39,2.7509213184011073e-34,7.104331443365515e-36,,,3.812652905869314e-39,3.812652905869314e-39
35,37,2.992184810366833e-38,3.266172656028046e-40,2.4909163542932855e-35,7.875142830073846e-37,,,3.266172656028046e-40,3.266172656028046e-40
36,38,1.945474116348567e-39,2.798021241997359e-41,2.2521173949531935e-36,5.815768540826916e-38,,,2.798021241997359e-41,2.798021241997359e-41
37,39,1.712089322228847e-40,2.3969715306444045e-42,2.033330182756993e-37,5.250420315634126e-39,,,2.3969715306444045e-42,2.3969715306444045e-42
38,40,4.004167574958485e-42,2.05340561125204e-43,8.787057934189322e-41,1.784920139876003e-41,,,2.05340561125204e-43,2.05340561125204e-43
39,41,2.5369378508817797e-42,1.7590841403059143e-44,1.6508979541835967e-39,6.024928826772735e-41,,,1.7590841403059143e-44,1.7590841403059143e-44
40,42,2.253750833837944e-43,1.5069487468620666e-45,1.4848130754408817e-40,5.418706244507432e-42,,,1.5069487468620666e-45,1.5069487468620666e-45
41,43,2.0224823658099627e-44,1.290952759811837e-46,1.3338930178864381e-41,4.867900459153733e-43,,,1.290952759811837e-46,1.290952759811837e-46
42,44,6.333770925475189e-46,1.1059161975721404e-47,1.196991867782364e-42,2.187144852474389e-44,,,1.1059161975721404e-47,1.1059161975721404e-47
