,N,average,min,max,std,5_percentile,95_percentile,25_percentile,75_percentile
0,2,0.8582104694814815,0.007338777777777778,1.0,0.3149763151305613,,,1.0,1.0
1,3,0.8165347747018271,0.0006286886296296297,1.0,0.3325427524169065,,,1.0,1.0
2,4,0.7765156575017758,0.002353181540703704,1.0,0.340202256152596,,,0.30109489685924695,1.0
3,5,0.7492381527392364,0.0055067042440878275,1.0,0.338632781654415,,,0.3609677673616381,1.0
4,6,0.7210711307184532,0.0007010860355419102,1.0,0.3386871202689595,,,0.4157115286243245,1.0
5,7,0.7059362721162998,8.35640957437598e-05,1.0,0.3311981711319292,,,0.46576557433884064,1.0
6,8,0.6900371379277374,0.00020699987015452342,1.0,0.3263631598994525,,,0.5115316568038133,1.0
7,9,0.669804021658287,0.004769237067668918,1.0,0.3226292380107778,,,0.55337711153762,1.0
8,10,0.6658150780255794,0.0008042174823014858,1.0,0.31716003326480446,,,0.5916378056492305,1.0
9,11,0.6592884735370201,0.0013703341675456134,1.0,0.3118223198085943,,,0.6266208336319465,1.0
10,12,0.6536111736075375,0.0021837360124918547,1.0,0.3119334541847461,,,0.27477319919111726,1.0
11,13,0.6523572473431706,0.003299316642835625,1.0,0.3073470197471683,,,0.30765495993704206,1.0
12,14,0.6431269419798413,6.750434741039754e-05,1.0,0.30583616552191506,,,0.3402252573381235,1.0
13,15,0.6365177737960893,0.006658656218494271,1.0,0.3075115961909052,,,0.3722961435123883,1.0
14,16,0.6295236140995273,0.0014853908454272838,1.0,0.30305544867613177,,,0.40371415807524846,0.7613986776951723
15,17,0.6296197713996052,0.0021300110640349035,0.9999999999999999,0.3006354532534316,,,0.43435579858935525,0.7818388576392858
16,18,0.6107904509799438,0.0004600507632631301,1.0,0.3033847985724953,,,0.46412351398129936,0.8005279955015205
17,19,0.6103465906160161,0.0006746406619123029,1.0,0.30043393170292,,,0.49294216456486495,0.8176160972202235
18,20,0.6057803101838987,0.0009614042964738144,1.0,0.3031752769412695,,,0.24261856248758346,0.8332403182250243
19,21,0.6119929310823313,0.00021226843970978992,1.0,0.3020416632770582,,,0.2664456609075321,0.8475260642970806
20,22,0.6060665000841287,0.00030853239730396705,1.0,0.2990944316352243,,,0.2905248249476076,0.8605879981222975
21,23,0.5998927973284204,0.0004376245036368163,1.0,0.2978547603445569,,,0.3147428455003142,0.8725309596164872
22,24,0.6034605248069856,0.000607297251479173,1.0,0.29690958558460384,,,0.33899507881221425,0.8834508074093415
23,25,0.5945341689826845,0.00014188490414758848,1.0,0.29364234059755545,,,0.3631855791665931,0.8934351882412745
24,26,0.6023647827206083,0.00020051773417906752,1.0,0.2964632550166779,,,0.3872270800622674,0.9025642404486054
25,27,0.5983793642292521,4.564454261665929e-05,1.0,0.2932400467096804,,,0.41104085451890227,0.9109112371835082
26,28,0.5964044397322521,6.554574773242875e-05,1.0,0.29181820307341855,,,0.43455648051934004,0.9185431745314543
27,29,0.5972655761686367,0.0005073623064057808,1.0,0.2896084502953576,,,0.45771153358777095,0.925521309246593
28,30,0.5878425039139872,0.0006699833760211554,1.0,0.2955204740048828,,,0.2530543106506064,0.931901650421135
29,31,0.5914912476536621,0.0008727422823643245,1.0,0.2949907147753792,,,0.2725346463153661,0.7568888920034517
30,32,0.5835886867785489,0.0011226147183509725,1.0,0.293759844457278,,,0.29225454372705084,0.772381410295826
31,33,0.5841241658864667,0.00031028868349304594,1.0,0.29341831789171685,,,0.31215033355702826,0.787003682184336
32,34,0.5891175727875051,0.001794891683169218,1.0,0.2968869549118452,,,0.33216085577502524,0.8007911137372117
33,35,0.5862250075797568,0.00010851403362113777,1.0,0.29212300116600926,,,0.3522277517222815,0.8137794313279618
34,36,0.5817722843684779,0.00014418938944932392,1.0,0.29302672327629226,,,0.37229569282036834,0.8260043669191381
35,37,0.5852743890727561,0.00018935438992780758,1.0000000000000002,0.29548334135753057,,,0.3923125518865692,0.8375013949168284
36,38,0.584224036931598,0.0010656598300431831,0.9999999999999999,0.29554414830114073,,,0.4122295229011554,0.8483055140697318
37,39,0.5783572845134983,0.000316167255706539,1.0,0.2960545328027732,,,0.4320011948700542,0.8584510686263422
38,40,0.5897805391168393,0.00040251396918442625,1.0,0.2897479626887113,,,0.45158558516835867,0.8679716036246097
39,41,0.5750720730474232,0.000507780206993246,1.0,0.29239344406169937,,,0.2725189765408612,0.8768997497785406
40,42,0.5798665343549586,0.0006350765177748944,1.0000000000000002,0.294017225829137,,,0.28951739865895076,0.8852671339527868
41,43,0.573073478020075,0.0029123896843925483,1.0,0.29064769955613307,,,0.3066956461899738,0.8931043116859427
42,44,0.5832477239776894,0.00024183078985361153,0.9999999999999999,0.2903847963997447,,,0.32401322839541513,0.9004407186418794
