,ACC,LogLoss,Train time,Epochs,Test time,ACC_SPH_9,ACC_BH_n4_M8,ACC_BH_n2_M10,ACC_BH_n4_M10,ACC_BH_n6_M10,ACC_BH_n4_M12
0,0.5876888888888889,0.9702607668313344,1496.3213577270508,54,4.257668972015381,0.9464,0.728,0.4256666666666667,0.2404,0.3191333333333333,0.8665333333333334
1,0.5857888888888889,0.9633002096874279,890.2501857280731,32,4.23517918586731,0.9082,0.7016666666666667,0.5064666666666666,0.08913333333333333,0.40553333333333336,0.9037333333333334
2,0.5758,1.0000958387126966,1311.828681230545,47,4.235501766204834,0.8942666666666667,0.8005333333333333,0.3294,0.3528,0.30706666666666665,0.7707333333333334
3,0.5862444444444445,0.9646560713335263,1189.5767033100128,43,4.198336362838745,0.9422666666666667,0.6969333333333333,0.39353333333333335,0.3304,0.24326666666666666,0.9110666666666667
4,0.5626444444444444,1.0209637226136192,497.2620587348938,18,4.197807550430298,0.8298666666666666,0.7231333333333333,0.2406,0.03,0.6378,0.9144666666666666
5,0.5734111111111111,0.9969329918555984,802.3782005310059,29,4.21025538444519,0.9607333333333333,0.6908666666666666,0.5357333333333333,0.1152,0.29833333333333334,0.8396
6,0.5876111111111111,0.9632637253332149,1691.7770001888275,61,4.1963114738464355,0.8835333333333333,0.7987333333333333,0.4452,0.09053333333333333,0.4032,0.9044666666666666
7,0.5589111111111111,1.0620066471447738,1440.7605621814728,52,4.214226961135864,0.8470666666666666,0.8368,0.2502666666666667,0.31366666666666665,0.4138,0.6918666666666666
8,0.5830111111111111,0.9741807793417309,1053.6329939365387,38,4.21448540687561,0.8902666666666667,0.7724,0.35746666666666665,0.22466666666666665,0.4114,0.8418666666666667
9,0.5816111111111111,0.98346735885572,1302.4887108802795,47,4.200579404830933,0.9374666666666667,0.7616666666666667,0.41173333333333334,0.2044,0.34313333333333335,0.8312666666666667
10,0.5421111111111111,1.1268969729324219,885.8064267635345,32,4.218377590179443,0.9299333333333333,0.5216666666666666,0.4603333333333333,0.04566666666666667,0.31826666666666664,0.9768
11,0.5561333333333334,1.0604651764622501,415.2409677505493,15,4.214104175567627,0.9328666666666666,0.6352666666666666,0.37726666666666664,0.3488,0.272,0.7706
12,0.5833222222222222,0.9774168925599007,1244.9609191417694,45,4.206411600112915,0.9188666666666667,0.8103333333333333,0.35986666666666667,0.1918,0.3712,0.8478666666666667
13,0.5914222222222222,0.9493293850470962,1801.6170415878296,65,4.220343589782715,0.9307333333333333,0.7143333333333334,0.3589333333333333,0.2068,0.45153333333333334,0.8862
14,0.5654777777777777,1.0321641149475067,1274.7531065940857,46,4.209845542907715,0.9633333333333334,0.72,0.4436,0.025133333333333334,0.5088666666666667,0.7319333333333333
15,0.5749666666666666,1.0030586129887737,1440.290453672409,52,4.210453987121582,0.8291333333333334,0.7190666666666666,0.3685333333333333,0.2673333333333333,0.3188,0.9469333333333333
16,0.5817888888888889,0.980385838895066,1080.0057713985443,39,4.205611705780029,0.8841333333333333,0.8194,0.42393333333333333,0.1966,0.28026666666666666,0.8864
17,0.5716333333333333,1.0126309946010228,885.0318326950073,32,4.203317880630493,0.9464,0.7612666666666666,0.47573333333333334,0.10986666666666667,0.3374666666666667,0.7990666666666667
18,0.5746111111111111,1.0006173387228219,1190.5988636016846,43,4.213890075683594,0.9015333333333333,0.6194666666666667,0.49566666666666664,0.2754,0.24033333333333334,0.9152666666666667
19,0.5434333333333333,1.1217128705329347,803.1678891181946,29,4.222947359085083,0.9477333333333333,0.5660666666666667,0.4457333333333333,0.20253333333333334,0.11833333333333333,0.9802
